# Wavelength  (nm), QE (%)
229.190728, 2.907882
229.193534, 2.908523
229.201895, 2.910433
229.215725, 2.913592
229.234938, 2.917984
229.259450, 2.923594
229.289174, 2.930407
229.324026, 2.938409
229.363920, 2.947591
229.408771, 2.957940
229.458492, 2.969447
229.512999, 2.982104
229.572206, 2.995904
229.636028, 3.010840
229.704379, 3.026907
229.777174, 3.044099
229.854327, 3.062414
229.935753, 3.081846
230.021366, 3.102394
230.111081, 3.124056
230.204812, 3.146831
230.302475, 3.170717
230.403983, 3.195714
230.509251, 3.221822
230.618194, 3.249041
230.730726, 3.277373
230.846762, 3.306818
230.966216, 3.337377
231.089003, 3.369053
231.215037, 3.401846
231.344233, 3.435759
231.476505, 3.470794
231.611769, 3.506952
231.749938, 3.544235
231.890927, 3.582645
232.034650, 3.622185
232.181023, 3.662854
232.329959, 3.704656
232.481374, 3.747590
232.635182, 3.791658
232.791296, 3.836860
232.949633, 3.883196
233.110106, 3.930665
233.272630, 3.979267
233.437120, 4.029000
233.603489, 4.079861
233.771654, 4.131848
233.941527, 4.184956
234.113024, 4.239182
234.286059, 4.294520
234.460547, 4.350963
234.636402, 4.408504
234.813540, 4.467135
234.991873, 4.526845
235.171318, 4.587625
235.351787, 4.649461
235.533197, 4.712340
235.715462, 4.776249
235.898496, 4.841169
236.082213, 4.907084
236.266528, 4.973974
236.451356, 5.041817
236.636612, 5.110591
236.822209, 5.180272
237.008063, 5.250831
237.194088, 5.322242
237.380198, 5.394474
237.566308, 5.467493
237.752332, 5.541266
237.938186, 5.615755
238.123783, 5.690921
238.309039, 5.766724
238.493867, 5.843119
238.678182, 5.920061
238.861900, 5.997500
239.044933, 6.075386
239.227198, 6.153666
239.408608, 6.232284
239.589078, 6.311181
239.768522, 6.390296
239.946856, 6.469565
240.123993, 6.548923
240.299848, 6.628301
240.474336, 6.707627
240.647371, 6.786827
240.818868, 6.865825
240.988742, 6.944543
241.156906, 7.022897
241.323275, 7.100805
241.487765, 7.178180
241.650289, 7.254933
241.810762, 7.330974
241.969099, 7.406209
242.125214, 7.480544
242.279021, 7.553880
242.430436, 7.626119
242.579372, 7.697161
242.725745, 7.766902
242.869469, 7.835239
243.010458, 7.902066
243.010458, 7.902066
243.149588, 7.968036
243.287821, 8.033855
243.425196, 8.099521
243.561753, 8.165034
243.697533, 8.230391
243.832575, 8.295593
243.966922, 8.360639
244.100612, 8.425530
244.233686, 8.490265
244.366184, 8.554846
244.498147, 8.619274
244.629615, 8.683550
244.760628, 8.747676
244.891227, 8.811653
245.021452, 8.875485
245.151342, 8.939173
245.280940, 9.002720
245.410284, 9.066130
245.539415, 9.129407
245.668374, 9.192554
245.797200, 9.255576
245.925935, 9.318476
246.054617, 9.381261
246.183289, 9.443934
246.311990, 9.506502
246.440759, 9.568970
246.569639, 9.631345
246.698668, 9.693632
246.827888, 9.755840
246.957338, 9.817974
247.087059, 9.880042
247.217091, 9.942052
247.347475, 10.004011
247.478251, 10.065930
247.609458, 10.127814
247.741138, 10.189675
247.873331, 10.251521
248.006077, 10.313362
248.139416, 10.375208
248.273389, 10.437068
248.408036, 10.498954
248.543397, 10.560877
248.679513, 10.622848
248.816424, 10.684877
248.954170, 10.746978
249.092791, 10.809163
249.232329, 10.871443
249.372822, 10.933832
249.514312, 10.996343
249.656839, 11.058990
249.800443, 11.121786
249.945164, 11.184746
250.091044, 11.247883
250.238121, 11.311214
250.386436, 11.374753
250.536030, 11.438515
250.686943, 11.502517
250.839216, 11.566775
250.992888, 11.631306
251.148000, 11.696126
251.304592, 11.761252
251.462704, 11.826703
251.622378, 11.892497
251.783653, 11.958652
251.946569, 12.025186
252.111167, 12.092120
252.277487, 12.159472
252.445569, 12.227262
252.615454, 12.295512
252.787182, 12.364241
252.960794, 12.433472
253.136329, 12.503225
253.313828, 12.573523
253.493332, 12.644389
253.674880, 12.715844
253.858513, 12.787914
254.044271, 12.860620
254.232194, 12.933989
254.422324, 13.008045
254.614700, 13.082813
254.809362, 13.158319
255.006351, 13.234589
255.205706, 13.311651
255.407470, 13.389532
255.611681, 13.468259
255.818380, 13.547861
256.027607, 13.628368
256.239403, 13.709810
256.453808, 13.792216
256.670863, 13.875617
256.890607, 13.960046
257.113080, 14.045534
257.338324, 14.132115
257.566379, 14.219822
257.797284, 14.308690
258.031081, 14.398753
258.267809, 14.490048
258.507508, 14.582611
258.750220, 14.676480
258.750220, 14.676480
258.991520, 14.770612
259.226823, 14.863901
259.456266, 14.956345
259.679984, 15.047940
259.898116, 15.138686
260.110799, 15.228579
260.318168, 15.317621
260.520363, 15.405809
260.717518, 15.493146
260.909772, 15.579630
261.097262, 15.665265
261.280124, 15.750052
261.458496, 15.833994
261.632514, 15.917093
261.802315, 15.999355
261.968037, 16.080782
262.129817, 16.161381
262.287791, 16.241156
262.442097, 16.320113
262.592871, 16.398260
262.740251, 16.475602
262.884374, 16.552148
263.025376, 16.627905
263.163395, 16.702883
263.298567, 16.777090
263.431030, 16.850536
263.560921, 16.923231
263.688377, 16.995185
263.813534, 17.066411
263.936530, 17.136918
264.057502, 17.206719
264.176586, 17.275827
264.293921, 17.344255
264.409642, 17.412015
264.523886, 17.479122
264.636792, 17.545590
264.748495, 17.611433
264.859134, 17.676667
264.968844, 17.741307
265.077763, 17.805369
265.186028, 17.868869
265.293776, 17.931823
265.401143, 17.994250
265.508268, 18.056166
265.615286, 18.117589
265.722336, 18.178537
265.829553, 18.239029
265.937076, 18.299084
266.045040, 18.358721
266.153584, 18.417959
266.262843, 18.476819
266.372956, 18.535321
266.484058, 18.593486
266.596288, 18.651333
266.709781, 18.708886
266.824676, 18.766165
266.941109, 18.823192
267.059217, 18.879990
267.179137, 18.936581
267.301006, 18.992987
267.424962, 19.049233
267.551140, 19.105342
267.679679, 19.161336
267.810715, 19.217242
267.944385, 19.273082
268.080826, 19.328882
268.220176, 19.384667
268.362571, 19.440461
268.508148, 19.496291
268.657044, 19.552182
268.809397, 19.608161
268.965343, 19.664254
269.125019, 19.720488
269.288563, 19.776890
269.456111, 19.833488
269.627801, 19.890309
269.803768, 19.947381
269.984152, 20.004732
270.169087, 20.062392
270.358712, 20.120389
270.553164, 20.178752
270.752578, 20.237512
270.957094, 20.296698
271.166847, 20.356341
271.381974, 20.416470
271.602613, 20.477119
271.828900, 20.538316
272.060973, 20.600096
272.298968, 20.662489
272.543023, 20.725528
272.793275, 20.789247
273.049860, 20.853678
273.312916, 20.918856
273.582579, 20.984814
273.858987, 21.051587
274.142277, 21.119210
274.432585, 21.187719
274.730049, 21.257150
275.034806, 21.327540
275.034806, 21.327540
275.320952, 21.392442
275.610516, 21.456388
275.903455, 21.519380
276.199726, 21.581419
276.499287, 21.642509
276.802096, 21.702649
277.108111, 21.761845
277.417288, 21.820097
277.729586, 21.877409
278.044963, 21.933785
278.363375, 21.989227
278.684781, 22.043739
279.009139, 22.097326
279.336405, 22.149991
279.666537, 22.201739
279.999494, 22.252574
280.335233, 22.302501
280.673711, 22.351526
281.014886, 22.399653
281.358716, 22.446888
281.705159, 22.493236
282.054171, 22.538704
282.405711, 22.583297
282.759736, 22.627022
283.116205, 22.669884
283.475074, 22.711892
283.836301, 22.753051
284.199844, 22.793368
284.565661, 22.832852
284.933709, 22.871508
285.303946, 22.909345
285.676329, 22.946370
286.050816, 22.982590
286.427365, 23.018015
286.805934, 23.052653
287.186479, 23.086510
287.568959, 23.119597
287.953332, 23.151921
288.339555, 23.183492
288.727585, 23.214318
289.117380, 23.244408
289.508898, 23.273772
289.902097, 23.302418
290.296934, 23.330357
290.693367, 23.357597
291.091354, 23.384148
291.490851, 23.410021
291.891818, 23.435225
292.294210, 23.459770
292.697987, 23.483666
293.103105, 23.506923
293.509523, 23.529552
293.917198, 23.551563
294.326087, 23.572967
294.736149, 23.593774
295.147341, 23.613995
295.559620, 23.633641
295.972944, 23.652722
296.387272, 23.671250
296.802559, 23.689235
297.218765, 23.706689
297.635847, 23.723623
298.053762, 23.740048
298.472468, 23.755975
298.891923, 23.771416
299.312084, 23.786382
299.732909, 23.800884
300.154356, 23.814935
300.576382, 23.828546
300.998945, 23.841729
301.422003, 23.854494
301.845512, 23.866854
302.269432, 23.878822
302.693719, 23.890408
303.118332, 23.901624
303.543227, 23.912483
303.968362, 23.922996
304.393696, 23.933176
304.819185, 23.943034
305.244788, 23.952583
305.670461, 23.961835
306.096164, 23.970801
306.521852, 23.979494
306.947485, 23.987927
307.373019, 23.996111
307.798412, 24.004059
308.223623, 24.011783
308.648607, 24.019295
309.073324, 24.026608
309.497731, 24.033734
309.921785, 24.040685
310.345444, 24.047473
310.768666, 24.054112
311.191408, 24.060614
311.613629, 24.066990
312.035285, 24.073254
312.456334, 24.079417
312.876734, 24.085493
313.296443, 24.091494
313.296443, 24.091494
313.720623, 24.097526
314.154347, 24.103794
314.597440, 24.110289
315.049725, 24.117007
315.511025, 24.123940
315.981164, 24.131083
316.459967, 24.138428
316.947257, 24.145968
317.442857, 24.153699
317.946592, 24.161613
318.458285, 24.169703
318.977760, 24.177963
319.504841, 24.186387
320.039350, 24.194967
320.581113, 24.203699
321.129953, 24.212574
321.685694, 24.221587
322.248158, 24.230730
322.817171, 24.239998
323.392556, 24.249384
323.974136, 24.258881
324.561736, 24.268483
325.155179, 24.278182
325.754288, 24.287973
326.358888, 24.297849
326.968802, 24.307803
327.583855, 24.317829
328.203869, 24.327920
328.828668, 24.338069
329.458077, 24.348269
330.091919, 24.358515
330.730018, 24.368799
331.372197, 24.379114
332.018280, 24.389455
332.668091, 24.399813
333.321455, 24.410183
333.978193, 24.420558
334.638131, 24.430930
335.301091, 24.441294
335.966899, 24.451643
336.635377, 24.461969
337.306349, 24.472265
337.979638, 24.482526
338.655070, 24.492744
339.332467, 24.502913
340.011653, 24.513025
340.692452, 24.523074
341.374688, 24.533052
342.058184, 24.542954
342.742764, 24.552771
343.428252, 24.562498
344.114472, 24.572127
344.801246, 24.581652
345.488401, 24.591065
346.175757, 24.600359
346.863141, 24.609528
347.550375, 24.618565
348.237283, 24.627462
348.923688, 24.636214
349.609415, 24.644811
350.294288, 24.653249
350.978130, 24.661520
351.660764, 24.669616
352.342015, 24.677531
353.021706, 24.685258
353.699661, 24.692790
354.375704, 24.700119
355.049658, 24.707240
355.721348, 24.714144
356.390597, 24.720825
357.057228, 24.727276
357.721066, 24.733489
358.381934, 24.739458
359.039656, 24.745176
359.694056, 24.750636
360.344957, 24.755830
360.992183, 24.760752
361.635558, 24.765394
362.274906, 24.769751
362.910050, 24.773814
363.540815, 24.777576
364.167023, 24.781031
364.788499, 24.784172
365.405067, 24.786992
366.016549, 24.789483
366.622771, 24.791640
367.223555, 24.793454
367.818725, 24.794919
368.408105, 24.796028
368.991520, 24.796774
369.568792, 24.797151
370.139745, 24.797151
370.704203, 24.796767
371.261990, 24.795994
371.812930, 24.794823
372.356846, 24.793248
372.893562, 24.791262
373.422902, 24.788859
373.944689, 24.786032
373.944689, 24.786032
374.462869, 24.782654
374.981060, 24.778661
375.499277, 24.774053
376.017535, 24.768828
376.535848, 24.762986
377.054234, 24.756528
377.572705, 24.749453
378.091279, 24.741761
378.609970, 24.733452
379.128792, 24.724526
379.647762, 24.714984
380.166895, 24.704824
380.686205, 24.694048
381.205708, 24.682655
381.725420, 24.670646
382.245355, 24.658021
382.765528, 24.644780
383.285955, 24.630924
383.806651, 24.616454
384.327631, 24.601368
384.848910, 24.585669
385.370504, 24.569356
385.892427, 24.552431
386.414696, 24.534893
386.937324, 24.516745
387.460328, 24.497985
387.983722, 24.478616
388.507522, 24.458637
389.031743, 24.438051
389.556400, 24.416857
390.081508, 24.395058
390.607083, 24.372653
391.133139, 24.349644
391.659692, 24.326032
392.186757, 24.301818
392.714350, 24.277004
393.242484, 24.251591
393.771177, 24.225579
394.300442, 24.198971
394.830295, 24.171768
395.360752, 24.143971
395.891827, 24.115583
396.423535, 24.086603
396.955892, 24.057034
397.488914, 24.026878
398.022614, 23.996136
398.557009, 23.964810
399.092114, 23.932902
399.627943, 23.900414
400.164512, 23.867347
400.701836, 23.833704
401.239931, 23.799486
401.778811, 23.764695
402.318492, 23.729334
402.858989, 23.693404
403.400318, 23.656908
403.942492, 23.619847
404.485528, 23.582225
405.029441, 23.544043
405.574246, 23.505304
406.119957, 23.466010
406.666591, 23.426163
407.214163, 23.385766
407.762687, 23.344822
408.312180, 23.303332
408.862655, 23.261300
409.414129, 23.218728
409.966616, 23.175618
410.520132, 23.131974
411.074691, 23.087798
411.630310, 23.043093
412.187003, 22.997862
412.744786, 22.952107
413.303673, 22.905832
413.863680, 22.859039
414.424822, 22.811732
414.987114, 22.763913
415.550572, 22.715586
416.115210, 22.666753
416.681044, 22.617417
417.248090, 22.567583
417.816361, 22.517252
418.385874, 22.466429
418.956644, 22.415116
419.528685, 22.363318
420.102013, 22.311036
420.676644, 22.258275
421.252592, 22.205038
421.829872, 22.151329
422.408501, 22.097150
422.988492, 22.042506
423.569861, 21.987400
424.152624, 21.931835
424.736796, 21.875816
425.322391, 21.819346
425.909425, 21.762428
426.497913, 21.705066
427.087871, 21.647264
427.679313, 21.589026
427.679313, 21.589026
428.308906, 21.526241
429.012769, 21.455059
429.789412, 21.375733
430.637344, 21.288524
431.555074, 21.193698
432.541114, 21.091528
433.593972, 20.982290
434.712158, 20.866265
435.894182, 20.743734
437.138554, 20.614984
438.443784, 20.480302
439.808381, 20.339975
441.230854, 20.194293
442.709715, 20.043541
444.243472, 19.888008
445.830636, 19.727978
447.469716, 19.563734
449.159222, 19.395557
450.897663, 19.223725
452.683550, 19.048510
454.515391, 18.870184
456.391698, 18.689011
458.310980, 18.505253
460.271746, 18.319164
462.272506, 18.130997
464.311770, 17.940995
466.388048, 17.749397
468.499849, 17.556436
470.645683, 17.362340
472.824061, 17.167328
475.033491, 16.971614
477.272484, 16.775405
479.539549, 16.578902
481.833197, 16.382297
484.151936, 16.185777
486.494277, 15.989522
488.858729, 15.793706
491.243802, 15.598492
493.648006, 15.404042
496.069850, 15.210506
498.507845, 15.018031
500.960501, 14.826755
503.426326, 14.636810
505.903831, 14.448322
508.391525, 14.261411
510.887918, 14.076189
513.391521, 13.892764
515.900842, 13.711237
518.414392, 13.531702
520.930680, 13.354250
523.448216, 13.178964
525.965510, 13.005923
528.481071, 12.835201
530.993409, 12.666866
533.501035, 12.500982
536.002458, 12.337608
538.496187, 12.176798
540.980732, 12.018603
543.454604, 11.863070
545.916311, 11.710240
548.364364, 11.560153
550.797273, 11.412844
553.213546, 11.268343
555.611695, 11.126681
557.990228, 10.987883
560.347656, 10.851971
562.682487, 10.718967
564.993233, 10.588887
567.278403, 10.461748
569.536506, 10.337564
571.766052, 10.216345
573.965552, 10.098102
576.133514, 9.982843
578.268448, 9.870575
580.368865, 9.761303
582.433274, 9.655033
584.460185, 9.551768
586.448108, 9.451510
588.395552, 9.354263
590.301027, 9.260027
592.163042, 9.168805
593.980109, 9.080597
595.750736, 8.995405
597.473433, 8.913231
599.146710, 8.834075
600.769076, 8.757939
602.339042, 8.684827
603.855118, 8.614742
605.315812, 8.547687
606.719635, 8.483667
608.065096, 8.422689
609.350706, 8.364760
610.574974, 8.309889
611.736409, 8.258086
612.833522, 8.209362
613.864823, 8.163732
614.828820, 8.121212
615.724024, 8.081818
616.548945, 8.045572
616.548945, 8.045572
617.346141, 8.010466
618.158729, 7.974496
618.986395, 7.937688
619.828829, 7.900068
620.685717, 7.861664
621.556748, 7.822501
622.441609, 7.782607
623.339989, 7.742007
624.251574, 7.700729
625.176053, 7.658798
626.113114, 7.616241
627.062444, 7.573083
628.023731, 7.529350
628.996663, 7.485067
629.980928, 7.440261
630.976213, 7.394957
631.982207, 7.349178
632.998597, 7.302951
634.025071, 7.256299
635.061316, 7.209247
636.107021, 7.161819
637.161874, 7.114037
638.225562, 7.065927
639.297772, 7.017510
640.378193, 6.968809
641.466513, 6.919847
642.562419, 6.870645
643.665599, 6.821226
644.775741, 6.771610
645.892533, 6.721819
647.015663, 6.671874
648.144817, 6.621793
649.279685, 6.571599
650.419954, 6.521309
651.565311, 6.470942
652.715445, 6.420519
653.870043, 6.370056
655.028793, 6.319573
656.191384, 6.269085
657.357501, 6.218611
658.526835, 6.168168
659.699072, 6.117770
660.873899, 6.067436
662.051006, 6.017179
663.230079, 5.967016
664.410807, 5.916960
665.592877, 5.867027
666.775977, 5.817230
667.959795, 5.767583
669.144019, 5.718099
670.328336, 5.668790
671.512435, 5.619670
672.696002, 5.570749
673.878727, 5.522041
675.060296, 5.473555
676.240397, 5.425304
677.418719, 5.377297
678.594949, 5.329544
679.768775, 5.282056
680.939884, 5.234842
682.107965, 5.187911
683.272705, 5.141271
684.433792, 5.094932
685.590914, 5.048900
686.743758, 5.003185
687.892013, 4.957793
689.035367, 4.912731
690.173506, 4.868007
691.306119, 4.823627
692.432894, 4.779596
693.553518, 4.735922
694.667679, 4.692608
695.775066, 4.649662
696.875365, 4.607088
697.968265, 4.564890
699.053453, 4.523073
700.130618, 4.481642
701.199447, 4.440600
702.259627, 4.399952
703.310847, 4.359700
704.352794, 4.319848
705.385157, 4.280399
706.407622, 4.241356
707.419879, 4.202722
708.421614, 4.164499
709.412515, 4.126689
710.392271, 4.089295
711.360569, 4.052317
712.317096, 4.015759
713.261541, 3.979621
714.193591, 3.943904
715.112935, 3.908610
716.019259, 3.873740
716.912253, 3.839295
717.791603, 3.805275
718.656997, 3.771681
719.508123, 3.738513
720.344670, 3.705771
721.166324, 3.673457
721.166324, 3.673457
721.980308, 3.641329
722.794249, 3.609161
723.608101, 3.576962
724.421820, 3.544741
725.235359, 3.512504
726.048675, 3.480261
726.861720, 3.448019
727.674451, 3.415787
728.486821, 3.383571
729.298786, 3.351380
730.110299, 3.319220
730.921317, 3.287099
731.731792, 3.255024
732.541681, 3.223002
733.350937, 3.191039
734.159516, 3.159143
734.967371, 3.127319
735.774459, 3.095575
736.580732, 3.063916
737.386147, 3.032349
738.190657, 3.000878
738.994218, 2.969511
739.796784, 2.938253
740.598309, 2.907108
741.398749, 2.876084
742.198058, 2.845183
742.996191, 2.814413
743.793102, 2.783777
744.588746, 2.753280
745.383077, 2.722927
746.176051, 2.692723
746.967622, 2.662671
747.757745, 2.632776
748.546375, 2.603042
749.333465, 2.573473
750.118971, 2.544073
750.902847, 2.514844
751.685049, 2.485791
752.465530, 2.456917
753.244246, 2.428226
754.021151, 2.399720
754.796199, 2.371402
755.569346, 2.343275
756.340546, 2.315342
757.109754, 2.287606
757.876924, 2.260068
758.642011, 2.232732
759.404970, 2.205600
760.165756, 2.178673
760.924322, 2.151953
761.680625, 2.125443
762.434618, 2.099145
763.186256, 2.073059
763.935493, 2.047188
764.682285, 2.021533
765.426587, 1.996095
766.168352, 1.970875
766.907535, 1.945876
767.644092, 1.921097
768.377976, 1.896539
769.109143, 1.872205
769.837547, 1.848093
770.563143, 1.824206
771.285886, 1.800543
772.005729, 1.777105
772.722628, 1.753892
773.436538, 1.730905
774.147413, 1.708144
774.855208, 1.685610
775.559877, 1.663301
776.261376, 1.641219
776.959658, 1.619363
777.654679, 1.597733
778.346393, 1.576329
779.034754, 1.555151
779.719719, 1.534198
780.401240, 1.513469
781.079274, 1.492965
781.753773, 1.472685
782.424694, 1.452629
783.091991, 1.432794
783.755619, 1.413182
784.415531, 1.393791
785.071684, 1.374621
785.724031, 1.355670
786.372527, 1.336938
787.017127, 1.318423
787.657786, 1.300125
788.294458, 1.282043
788.927097, 1.264176
789.555660, 1.246522
790.180099, 1.229080
790.800371, 1.211850
791.416429, 1.194830
792.028228, 1.178018
792.635723, 1.161414
793.238869, 1.145016
793.837619, 1.128822
794.431930, 1.112832
794.431930, 1.112832
795.022510, 1.097057
795.610089, 1.081504
796.194654, 1.066172
796.776194, 1.051056
797.354695, 1.036153
797.930145, 1.021461
798.502531, 1.006976
799.071840, 0.992695
799.638060, 0.978615
800.201177, 0.964733
800.761181, 0.951046
801.318057, 0.937551
801.871793, 0.924245
802.422376, 0.911126
802.969795, 0.898190
803.514035, 0.885436
804.055085, 0.872859
804.592931, 0.860459
805.127562, 0.848231
805.658964, 0.836174
806.187124, 0.824285
806.712031, 0.812562
807.233672, 0.801001
807.752033, 0.789602
808.267102, 0.778361
808.778866, 0.767276
809.287314, 0.756346
809.792431, 0.745566
810.294206, 0.734937
810.792626, 0.724454
811.287678, 0.714117
811.779350, 0.703923
812.267628, 0.693870
812.752500, 0.683956
813.233954, 0.674179
813.711977, 0.664537
814.186555, 0.655028
814.657678, 0.645651
815.125331, 0.636403
815.589502, 0.627282
816.050179, 0.618287
816.507349, 0.609416
816.960999, 0.600668
817.411116, 0.592039
817.857688, 0.583530
818.300703, 0.575138
818.740147, 0.566861
819.176007, 0.558698
819.608272, 0.550647
820.036929, 0.542707
820.461964, 0.534876
820.883366, 0.527152
821.301121, 0.519535
821.715217, 0.512022
822.125642, 0.504613
822.532382, 0.497305
822.935424, 0.490098
823.334757, 0.482989
823.730368, 0.475978
824.122243, 0.469063
824.510371, 0.462243
824.894739, 0.455517
825.275333, 0.448883
