# Wavelength  (nm), QE (%)
361.289423, 6.806617
362.174828, 6.829985
363.054705, 6.853857
363.928895, 6.878245
364.797235, 6.903164
365.659564, 6.928625
366.515723, 6.954643
367.365548, 6.981229
368.208881, 7.008399
369.045559, 7.036165
369.875421, 7.064543
369.875421, 7.064543
370.698581, 7.093516
371.515074, 7.123026
372.324962, 7.153073
373.128309, 7.183656
373.925176, 7.214775
374.715629, 7.246429
375.499728, 7.278618
376.277537, 7.311340
377.049120, 7.344596
377.814539, 7.378385
378.573856, 7.412707
379.327136, 7.447560
380.074440, 7.482944
380.815832, 7.518859
381.551375, 7.555304
382.281132, 7.592279
383.005166, 7.629782
383.723538, 7.667813
384.436314, 7.706371
385.143555, 7.745456
385.845324, 7.785066
386.541685, 7.825202
387.232700, 7.865861
387.918432, 7.907043
388.598945, 7.948747
389.274300, 7.990973
389.944562, 8.033718
390.609792, 8.076982
391.270055, 8.120763
391.925412, 8.165061
392.575928, 8.209874
393.221664, 8.255200
393.862684, 8.301037
394.499050, 8.347385
395.130826, 8.394242
395.758075, 8.441606
396.380859, 8.489475
396.999242, 8.537846
397.613285, 8.586719
398.223054, 8.636091
398.828609, 8.685959
399.430015, 8.736321
400.027334, 8.787176
400.620629, 8.838519
401.209963, 8.890349
401.795398, 8.942663
402.376999, 8.995457
402.954828, 9.048730
403.528947, 9.102476
404.099421, 9.156694
404.666311, 9.211379
405.229680, 9.266529
405.789592, 9.322138
406.346110, 9.378204
406.899296, 9.434723
407.449213, 9.491689
407.995925, 9.549099
408.539494, 9.606948
409.079983, 9.665231
409.617456, 9.723944
410.151974, 9.783081
410.683602, 9.842637
411.212401, 9.902607
411.738436, 9.962985
412.261768, 10.023766
412.782462, 10.084943
413.300579, 10.146510
413.816182, 10.208460
414.329335, 10.270788
414.840101, 10.333486
415.348543, 10.396548
415.854723, 10.459966
416.358704, 10.523732
416.860550, 10.587840
417.360322, 10.652281
417.858086, 10.717047
418.353902, 10.782130
418.847834, 10.847522
419.339946, 10.913213
419.830300, 10.979194
420.318958, 11.045457
420.805984, 11.111992
421.291442, 11.178788
421.775393, 11.245837
422.257900, 11.313128
422.739028, 11.380651
423.218838, 11.448394
423.697393, 11.516347
424.174757, 11.584499
424.650993, 11.652837
425.126163, 11.721351
425.600330, 11.790029
426.073557, 11.858858
426.545908, 11.927825
427.017444, 11.996918
427.488230, 12.066123
427.958328, 12.135429
428.427801, 12.204820
428.896712, 12.274283
428.896712, 12.274283
429.367095, 12.344228
429.840537, 12.415007
430.317111, 12.486602
430.796890, 12.558996
431.279946, 12.632170
431.766354, 12.706104
432.256186, 12.780780
432.749514, 12.856177
433.246413, 12.932275
433.746954, 13.009052
434.251212, 13.086486
434.759259, 13.164556
435.271169, 13.243237
435.787014, 13.322506
436.306867, 13.402340
436.830801, 13.482712
437.358890, 13.563597
437.891207, 13.644969
438.427824, 13.726801
438.968815, 13.809064
439.514252, 13.891732
440.064209, 13.974773
440.618759, 14.058159
441.177974, 14.141859
441.741929, 14.225841
442.310695, 14.310074
442.884347, 14.394523
443.462956, 14.479157
444.046597, 14.563939
444.635341, 14.648836
445.229263, 14.733810
445.828435, 14.818826
446.432930, 14.903846
447.042822, 14.988831
447.658183, 15.073743
448.279086, 15.158541
448.905605, 15.243186
449.537812, 15.327634
450.175781, 15.411846
450.819584, 15.495777
451.469295, 15.579384
452.124987, 15.662622
452.786732, 15.745447
453.454605, 15.827812
454.128677, 15.909672
