# Wavelength  (nm), QE (%)
302.243669, 32.985929
302.721452, 33.068661
303.201861, 33.149337
303.684942, 33.227966
304.170740, 33.304555
304.659300, 33.379113
305.150666, 33.451651
305.644884, 33.522178
306.141998, 33.590704
306.642054, 33.657242
307.145097, 33.721803
307.651171, 33.784398
308.160323, 33.845042
308.672595, 33.903747
309.188035, 33.960528
309.706686, 34.015398
310.228593, 34.068372
310.753803, 34.119466
311.282359, 34.168696
311.814307, 34.216077
312.349691, 34.261627
312.888557, 34.305363
313.430949, 34.347301
313.976914, 34.387460
314.526494, 34.425858
315.079737, 34.462515
315.636686, 34.497448
316.197387, 34.530677
316.761884, 34.562223
317.330223, 34.592105
317.902449, 34.620343
318.478606, 34.646959
319.058740, 34.671974
319.642895, 34.695408
320.231117, 34.717283
320.823451, 34.737622
321.419941, 34.756446
322.020633, 34.773779
322.625571, 34.789642
323.234801, 34.804058
323.848368, 34.817051
324.466316, 34.828644
325.088691, 34.838861
325.715537, 34.847725
326.346900, 34.855260
326.982825, 34.861491
327.623356, 34.866441
327.623356, 34.866441
328.271017, 34.870551
328.928310, 34.874404
329.594984, 34.878000
330.270790, 34.881341
330.955477, 34.884427
331.648794, 34.887258
332.350490, 34.889837
333.060316, 34.892162
333.778020, 34.894236
334.503352, 34.896059
335.236062, 34.897632
335.975899, 34.898955
336.722613, 34.900030
337.475953, 34.900858
338.235668, 34.901438
339.001508, 34.901773
339.773222, 34.901862
340.550560, 34.901707
341.333272, 34.901308
342.121107, 34.900667
342.913814, 34.899784
343.711143, 34.898660
344.512843, 34.897297
345.318663, 34.895694
346.128355, 34.893853
346.941665, 34.891774
347.758345, 34.889459
348.578144, 34.886909
349.400811, 34.884123
350.226095, 34.881104
351.053747, 34.877853
351.883515, 34.874369
352.715149, 34.870654
353.548399, 34.866709
354.383014, 34.862535
355.218743, 34.858133
356.055336, 34.853503
356.892543, 34.848647
357.730112, 34.843566
358.567794, 34.838260
359.405338, 34.832730
360.242493, 34.826978
361.079009, 34.821005
361.914635, 34.814810
362.749121, 34.808397
363.582216, 34.801764
364.413670, 34.794913
365.243233, 34.787846
366.070652, 34.780563
366.895679, 34.773066
367.718063, 34.765354
368.537553, 34.757430
369.353898, 34.749293
370.166848, 34.740946
370.976153, 34.732389
371.781562, 34.723623
372.582824, 34.714650
373.379689, 34.705469
374.171907, 34.696083
374.959227, 34.686492
375.741398, 34.676697
376.518169, 34.666699
377.289292, 34.656500
378.054514, 34.646100
378.813585, 34.635500
379.566255, 34.624701
380.312273, 34.613705
381.051389, 34.602512
381.783352, 34.591124
382.507912, 34.579541
383.224818, 34.567765
383.933820, 34.555796
384.634666, 34.543635
385.327108, 34.531285
386.010893, 34.518745
386.685772, 34.506016
387.351494, 34.493101
388.007808, 34.479999
388.654464, 34.466712
389.291212, 34.453242
389.917800, 34.439588
390.533979, 34.425752
391.139498, 34.411735
391.734106, 34.397539
392.317553, 34.383164
392.889588, 34.368611
393.449961, 34.353881
393.998422, 34.338976
394.534719, 34.323896
395.058602, 34.308643
395.569821, 34.293218
396.068124, 34.277622
396.553263, 34.261855
397.024986, 34.245919
397.483042, 34.229815
397.927181, 34.213544
398.357153, 34.197107
398.772707, 34.180506
399.173592, 34.163740
399.173592, 34.163740
399.573133, 34.145502
399.984982, 34.124439
400.408843, 34.100610
400.844423, 34.074070
401.291430, 34.044878
401.749568, 34.013091
402.218544, 33.978769
402.698064, 33.941970
403.187835, 33.902753
403.687564, 33.861178
404.196955, 33.817304
404.715716, 33.771192
405.243553, 33.722901
405.780172, 33.672492
406.325279, 33.620026
406.878581, 33.565562
407.439785, 33.509161
408.008595, 33.450884
408.584719, 33.390790
409.167863, 33.328941
409.757733, 33.265397
410.354035, 33.200217
410.956476, 33.133463
411.564762, 33.065193
412.178599, 32.995467
412.797694, 32.924345
413.421752, 32.851885
414.050481, 32.778148
414.683586, 32.703191
415.320774, 32.627072
415.961751, 32.549851
416.606223, 32.471583
417.253897, 32.392327
417.904478, 32.312139
418.557674, 32.231076
419.213190, 32.149193
419.870733, 32.066547
420.530008, 31.983192
421.190723, 31.899184
421.852584, 31.814576
422.515296, 31.729422
423.178566, 31.643776
423.842101, 31.557689
424.505607, 31.471216
425.168789, 31.384406
425.831355, 31.297312
