# Spectrum from 'tdtomato-2pex'
# Wavelength  (nm), 2P Excitation (a.u.)
966.000000, 38.159999
967.000000, 38.519999
968.000000, 38.870001
969.000000, 39.269999
970.000000, 39.739999
971.000000, 40.230000
972.000000, 40.720001
973.000000, 41.200000
974.000000, 41.589999
975.000000, 41.780001
976.000000, 41.920000
977.000000, 42.140001
978.000000, 42.370000
979.000000, 42.580000
980.000000, 42.870000
981.000000, 43.329999
982.000000, 43.860000
983.000000, 44.369999
984.000000, 44.830000
985.000000, 45.100001
986.000000, 45.310000
987.000000, 45.680001
988.000000, 46.180001
989.000000, 46.779999
990.000000, 47.389999
991.000000, 47.929999
992.000000, 48.350000
993.000000, 48.620000
994.000000, 48.949999
995.000000, 49.480000
996.000000, 50.059998
997.000000, 50.520003
998.000000, 50.999999
999.000000, 51.660001
1000.000000, 52.429998
1001.000000, 53.100002
1002.000000, 53.820002
1003.000000, 54.839998
1004.000000, 55.970001
1005.000000, 56.950003
1006.000000, 57.980001
1007.000000, 59.210002
1008.000000, 60.409999
1009.000000, 61.430001
1010.000000, 62.550002
1011.000000, 63.959998
1012.000000, 65.390003
1013.000000, 66.589999
1014.000000, 67.760003
1015.000000, 68.980002
1016.000000, 70.340002
1017.000000, 71.969998
1018.000000, 73.769999
1019.000000, 75.599998
1020.000000, 77.340001
1021.000000, 78.950000
1022.000000, 80.400002
1023.000000, 81.569999
1024.000000, 82.599998
1025.000000, 83.700001
1026.000000, 84.670001
1027.000000, 85.310000
1028.000000, 85.939997
1029.000000, 86.940002
1030.000000, 88.099998
1031.000000, 89.349997
1032.000000, 90.660000
1033.000000, 91.900003
1034.000000, 92.940003
1035.000000, 93.750000
1036.000000, 94.529998
1037.000000, 95.450002
1038.000000, 96.270001
1039.000000, 96.810001
1040.000000, 97.060001
1041.000000, 96.950001
1042.000000, 96.810001
1043.000000, 97.009999
1044.000000, 97.450000
1045.000000, 98.140001
1046.000000, 98.799998
1047.000000, 99.110001
1048.000000, 99.220002
1049.000000, 99.280000
1050.000000, 99.379998
1051.000000, 99.739999
1052.000000, 100.000000
1053.000000, 99.820000
1054.000000, 99.229997
1055.000000, 98.310000
1056.000000, 97.369999
1057.000000, 96.810001
1058.000000, 96.380001
1059.000000, 95.709997
1060.000000, 94.880003
1061.000000, 94.150001
1062.000000, 93.610001
1063.000000, 93.279999
1064.000000, 93.059999
1065.000000, 92.769998
1066.000000, 92.210001
1067.000000, 91.350001
1068.000000, 90.649998
1069.000000, 90.240002
1070.000000, 90.079999
1071.000000, 90.429997
1072.000000, 90.920001
1073.000000, 91.140002
1074.000000, 91.250002
1075.000000, 91.299999
1076.000000, 91.000003
1077.000000, 90.170002
1078.000000, 89.190000
1079.000000, 88.260001
1080.000000, 87.430000
1081.000000, 87.159997
1082.000000, 87.110001
1083.000000, 86.960000
1084.000000, 86.530000
1085.000000, 85.460001
1086.000000, 84.109998
1087.000000, 83.060002
1088.000000, 82.389998
1089.000000, 82.120001
1090.000000, 81.690001
1091.000000, 80.599999
1092.000000, 79.119998
1093.000000, 77.539998
1094.000000, 76.359999
1095.000000, 75.860000
1096.000000, 75.629997
1097.000000, 75.550002
1098.000000, 75.410002
1099.000000, 74.970001
1100.000000, 74.460000
1101.000000, 73.930001
1102.000000, 73.159999
1103.000000, 72.170001
1104.000000, 71.039999
1105.000000, 69.790000
1106.000000, 68.470001
1107.000000, 67.280000
1108.000000, 66.000003
1109.000000, 64.459997
1110.000000, 62.860000
1111.000000, 61.360002
1112.000000, 59.859997
1113.000000, 58.240002
1114.000000, 56.730002
1115.000000, 55.489999
1116.000000, 54.360002
1117.000000, 53.350002
1118.000000, 52.319998
1119.000000, 51.120001
1120.000000, 49.610001
1121.000000, 47.560000
1122.000000, 45.310000
1123.000000, 43.309999
1124.000000, 41.490000
1125.000000, 39.840001
1126.000000, 38.200000
1127.000000, 36.460000
1128.000000, 34.580001
1129.000000, 32.470000
1130.000000, 30.430001
1131.000000, 28.650001
1132.000000, 26.960000
1133.000000, 25.260001
1134.000000, 23.680000
1135.000000, 22.260000
1136.000000, 20.990001
1137.000000, 19.730000
1138.000000, 18.539999
1139.000000, 17.440000
1140.000000, 16.470000
1141.000000, 15.560000
1142.000000, 14.790000
1143.000000, 14.150000
1144.000000, 13.560000
1145.000000, 12.880000
1146.000000, 12.260000
1147.000000, 11.740000
1148.000000, 11.270000
1149.000000, 10.820000
1150.000000, 10.390000
1151.000000, 9.980000
1152.000000, 9.580000
1153.000000, 9.150000
1154.000000, 8.740000
1155.000000, 8.390000
1156.000000, 8.070000
1157.000000, 7.790000
1158.000000, 7.520000
