# Wavelength (nm), Transmission (%)
#Edmund optics stock number: 69-202
326.1492978566149, 91.4910693863972
327.4560236511456, 91.46809306967751
328.76274944567626, 91.53702201983657
330.06947524020694, 91.92761940407128
331.3762010347376, 92.34119310502568
332.6829268292683, 91.90464308735159
333.989652623799, 91.37618780279875
335.1330376940133, 91.65956237567491
336.2764227642277, 92.43309837190444
337.419807834442, 92.48670977758371
338.23651145602366, 91.72083255359408
338.889874353289, 90.98559041856404
339.869918699187, 90.36522986713244
341.0133037694013, 90.73285093464746
341.55777285045576, 91.56765710879615
342.25469327420547, 92.58474206225439
343.13673318551366, 93.62786684132827
344.1167775314117, 93.51298525772982
344.770140428677, 92.82369575613916
345.260162601626, 91.90464308735159
346.0768662232077, 91.03154305200341
347.38359201773835, 91.00856673528372
348.3636363636364, 91.90464308735159
349.3436807095344, 92.61690890566194
350.4870657797487, 92.3028992438262
351.14042867701403, 91.35321148607906
351.95713229859575, 90.57201671760964
352.9371766444937, 90.6639219844884
353.5905395417591, 91.35321148607906
354.57058388765705, 92.22631152142723
355.71396895787143, 92.14972379902828
356.4762256713476, 91.2613062192003
357.1840354767184, 90.54904040088995
358.32742054693273, 90.49542899521067
359.30746489283075, 91.44511675295782
360.1241685144124, 92.38714573846507
361.26755358462674, 92.18035888798786
362.08425720620846, 91.35321148607906
363.06430155210643, 90.59499303432932
364.3710273466371, 90.82475620152621
365.1877309682188, 91.67487992015471
366.00443458980044, 92.5250036387832
366.98447893569846, 92.41012205518476
367.58339492485834, 91.62892728671532
368.29120473022914, 90.91666146840497
369.5979305247598, 90.8477325182459
370.4146341463415, 91.81273782047283
371.0679970436068, 92.82369575613916
371.61246612466124, 93.65084315804795
372.53806356245383, 94.1563221258811
373.46366100024636, 93.28322209053293
373.89923626508994, 92.39480451070496
374.4437053461444, 91.53702201983657
374.9881744271988, 90.57201671760964
376.13155949741315, 90.20439565009461
377.209608277901, 91.1142577921943
377.92830746489284, 92.34119310502568
378.41832963784185, 93.19131682365418
379.3983739837398, 93.62786684132827
380.37841832963784, 93.00750628989667
380.86844050258685, 92.08845362110911
381.52180339985216, 91.16940095232155
382.66518847006654, 90.48011145073087
383.80857354028086, 90.92432024064487
384.3530426213353, 91.62892728671532
384.95195861049524, 92.45607468862413
385.9320029563932, 93.28322209053293
387.0753880266076, 93.130046645735
387.8920916481892, 92.45607468862413
388.7087952697709, 91.65956237567491
389.85218033998524, 91.19237726904123
390.99556541019956, 91.72083255359408
391.9756097560976, 92.54797995550288
393.1189948263119, 93.09941155677542
394.2623798965262, 92.67052031134122
395.24242424242425, 91.84337290943242
396.38580931263857, 91.12344831888217
397.69253510716925, 91.10047200216248
398.8359201773836, 91.65956237567491
399.97930524759795, 92.31821678830599
401.2860310421286, 92.54797995550288
402.5927568366593, 92.31821678830599
403.89948263119, 92.31821678830599
405.20620842572066, 92.82369575613916
406.5129342202513, 93.39810367413138
407.819660014782, 93.32917472397232
408.96304508499634, 92.60925013342205
409.94308943089436, 91.75146764255366
411.0864745011087, 91.10047200216248
412.3932002956393, 91.14642463560186
413.3732446415373, 91.76678518703346
414.189948263119, 92.54797995550288
415.33333333333337, 93.26024577381324
416.4767184035477, 93.09941155677542
417.4567627494457, 92.36416942174537
418.4368070953437, 91.50638693087699
419.58019216555806, 90.8707088349656
420.8869179600887, 90.91666146840497
422.03030303030306, 91.56765710879615
423.010347376201, 92.33353433278579
424.1537324464154, 92.82369575613916
425.2971175166297, 92.57861504446247
426.27716186252775, 91.874007998392
427.42054693274207, 91.03154305200341
428.72727272727275, 90.61796935104901
430.0339985218034, 91.00856673528372
431.17738359201775, 91.65956237567491
432.3207686622321, 92.34119310502568
433.62749445676275, 92.45607468862413
434.7708795269771, 91.874007998392
435.7509238728751, 91.13876586336197
436.8943089430894, 90.54904040088995
438.20103473762015, 90.48011145073087
439.50776053215077, 91.03154305200341
440.8144863266815, 91.90464308735159
442.1212121212121, 92.41012205518476
443.4279379157428, 92.08845362110911
444.5713229859572, 91.35321148607906
445.7147080561715, 90.6409456677687
447.0214338507021, 90.27332460025369
448.32815964523286, 90.68689830120809
449.4715447154472, 91.41448166399823
450.6149297856615, 92.04250098766973
451.9216555801922, 92.34119310502568
453.22838137472286, 91.90464308735159
454.3717664449372, 91.13876586336197
455.5151515151515, 90.38820618385212
456.82187730968224, 90.11249038321586
458.12860310421286, 90.61796935104901
459.4353288987436, 91.53702201983657
460.7420546932742, 92.15738257126817
462.0487804878049, 92.22631152142723
463.35550628233557, 91.72083255359408
464.66223207686625, 90.98559041856404
465.9689578713969, 90.48011145073087
467.2756836659276, 90.57201671760964
468.4190687361419, 91.23067113024072
469.39911308203995, 91.84337290943242
470.54249815225427, 92.47905100534382
471.84922394678495, 92.43309837190444
472.99260901699927, 91.78210273151325
473.9726533628973, 90.89368515168528
475.1160384331116, 90.06653774977647
476.4227642276423, 89.74486931570084
477.56614929785667, 90.34225355041275
478.3828529194383, 91.16940095232155
479.03621581670365, 91.90464308735159
479.689578713969, 92.63988522238164
480.5062823355506, 93.43639753533085
481.649667405765, 93.92655895868423
482.7930524759793, 93.49766771325002
483.609756097561, 92.82369575613916
484.2631189948263, 92.22631152142723
485.079822616408, 91.4757518419174
486.22320768662235, 90.82475620152621
487.529933481153, 91.00856673528372
488.67331855136734, 91.72083255359408
489.65336289726537, 92.48670977758371
490.7967479674797, 93.05345892333604
492.10347376201037, 92.96155365645728
493.0835181079084, 92.27226415486662
493.5735402808574, 91.39916411951845
494.009115545701, 90.18907810561483
