# Wavelength (nm), Transmission (%)
326.14930,	91.49107
327.45602,	91.46809
328.76275,	91.53702
330.06948,	91.92762
331.37620,	92.34119
332.68293,	91.90464
333.98965,	91.37619
335.13304,	91.65956
336.27642,	92.43310
337.41981,	92.48671
338.23651,	91.72083
338.88987,	90.98559
339.86992,	90.36523
341.01330,	90.73285
341.55777,	91.56766
342.25469,	92.58474
343.13673,	93.62787
344.11678,	93.51299
344.77014,	92.82370
345.26016,	91.90464
346.07687,	91.03154
347.38359,	91.00857
348.36364,	91.90464
349.34368,	92.61691
350.48707,	92.30290
351.14043,	91.35321
351.95713,	90.57202
352.93718,	90.66392
353.59054,	91.35321
354.57058,	92.22631
355.71397,	92.14972
356.47623,	91.26131
357.18404,	90.54904
358.32742,	90.49543
359.30746,	91.44512
360.12417,	92.38715
361.26755,	92.18036
362.08426,	91.35321
363.06430,	90.59499
364.37103,	90.82476
365.18773,	91.67488
366.00443,	92.52500
366.98448,	92.41012
367.58339,	91.62893
368.29120,	90.91666
369.59793,	90.84773
370.41463,	91.81274
371.06800,	92.82370
371.61247,	93.65084
372.53806,	94.15632
373.46366,	93.28322
373.89924,	92.39480
374.44371,	91.53702
374.98817,	90.57202
376.13156,	90.20440
377.20961,	91.11426
377.92831,	92.34119
378.41833,	93.19132
379.39837,	93.62787
380.37842,	93.00751
380.86844,	92.08845
381.52180,	91.16940
382.66519,	90.48011
383.80857,	90.92432
384.35304,	91.62893
384.95196,	92.45607
385.93200,	93.28322
387.07539,	93.13005
387.89209,	92.45607
388.70880,	91.65956
389.85218,	91.19238
390.99557,	91.72083
391.97561,	92.54798
393.11899,	93.09941
394.26238,	92.67052
395.24242,	91.84337
396.38581,	91.12345
397.69254,	91.10047
398.83592,	91.65956
399.97931,	92.31822
401.28603,	92.54798
402.59276,	92.31822
403.89948,	92.31822
405.20621,	92.82370
406.51293,	93.39810
407.81966,	93.32917
408.96305,	92.60925
409.94309,	91.75147
411.08647,	91.10047
412.39320,	91.14642
413.37324,	91.76679
414.18995,	92.54798
415.33333,	93.26025
416.47672,	93.09941
417.45676,	92.36417
418.43681,	91.50639
419.58019,	90.87071
420.88692,	90.91666
422.03030,	91.56766
423.01035,	92.33353
424.15373,	92.82370
425.29712,	92.57862
426.27716,	91.87401
427.42055,	91.03154
428.72727,	90.61797
430.03400,	91.00857
431.17738,	91.65956
432.32077,	92.34119
433.62749,	92.45607
434.77088,	91.87401
435.75092,	91.13877
436.89431,	90.54904
438.20103,	90.48011
439.50776,	91.03154
440.81449,	91.90464
442.12121,	92.41012
443.42794,	92.08845
444.57132,	91.35321
445.71471,	90.64095
447.02143,	90.27332
448.32816,	90.68690
449.47154,	91.41448
450.61493,	92.04250
451.92166,	92.34119
453.22838,	91.90464
454.37177,	91.13877
455.51515,	90.38821
456.82188,	90.11249
458.12860,	90.61797
459.43533,	91.53702
460.74205,	92.15738
462.04878,	92.22631
463.35551,	91.72083
464.66223,	90.98559
465.96896,	90.48011
467.27568,	90.57202
468.41907,	91.23067
469.39911,	91.84337
470.54250,	92.47905
471.84922,	92.43310
472.99261,	91.78210
473.97265,	90.89369
475.11604,	90.06654
476.42276,	89.74487
477.56615,	90.34225
478.38285,	91.16940
479.03622,	91.90464
479.68958,	92.63989
480.50628,	93.43640
481.64967,	93.92656
482.79305,	93.49767
483.60976,	92.82370
484.26312,	92.22631
485.07982,	91.47575
