# Wavelength  (nm), Reflectance (%)
502.000000, 3.239340
503.000000, 3.256550
504.000000, 3.275030
505.000000, 3.303640
506.000000, 3.331760
507.000000, 3.358370
508.000000, 3.342900
509.000000, 3.280650
510.000000, 3.183550
511.000000, 3.059550
512.000000, 2.925420
513.000000, 2.820370
514.000000, 2.766840
515.000000, 2.814620
516.000000, 2.913140
517.000000, 3.050810
518.000000, 3.204300
519.000000, 3.334940
520.000000, 3.396950
521.000000, 3.374040
522.000000, 3.276090
523.000000, 3.100380
524.000000, 2.908070
525.000000, 2.734070
526.000000, 2.608560
527.000000, 2.560290
528.000000, 2.605920
529.000000, 2.715770
530.000000, 2.889860
531.000000, 3.134290
532.000000, 3.461790
533.000000, 3.985730
534.000000, 4.863440
535.000000, 6.272960
536.000000, 8.338430
537.000000, 11.074020
538.000000, 14.365630
539.000000, 18.077400
540.000000, 22.015890
541.000000, 26.289870
542.000000, 30.997160
543.000000, 36.186040
544.000000, 41.851460
545.000000, 47.917940
546.000000, 54.111570
547.000000, 60.185090
548.000000, 65.919600
549.000000, 71.343090
550.000000, 76.339860
551.000000, 80.830750
552.000000, 84.825490
553.000000, 88.204500
554.000000, 90.934750
555.000000, 93.097870
556.000000, 94.702360
557.000000, 95.914690
558.000000, 96.840750
559.000000, 97.480500
560.000000, 97.985850
561.000000, 98.368390
562.000000, 98.623320
563.000000, 98.818790
564.000000, 98.977490
565.000000, 99.083160
566.000000, 99.139410
567.000000, 99.194750
568.000000, 99.181340
569.000000, 99.210040
570.000000, 99.238730
571.000000, 99.198870
572.000000, 99.131190
573.000000, 99.015770
574.000000, 98.822530
575.000000, 98.521030
576.000000, 98.118250
577.000000, 97.607150
578.000000, 97.091620
579.000000, 96.588660
580.000000, 96.175180
581.000000, 95.899840
582.000000, 95.736330
583.000000, 95.697770
584.000000, 95.765710
585.000000, 95.943130
586.000000, 96.232000
587.000000, 96.616570
588.000000, 97.062080
589.000000, 97.494570
590.000000, 97.805700
591.000000, 98.004010
592.000000, 98.053510
593.000000, 97.949010
594.000000, 97.766380
595.000000, 97.531580
596.000000, 97.265200
597.000000, 97.032070
598.000000, 96.851900
599.000000, 96.703120
600.000000, 96.635620
601.000000, 96.618930
602.000000, 96.679040
603.000000, 96.786940
604.000000, 96.981520
605.000000, 97.186780
606.000000, 97.407190
607.000000, 97.632300
608.000000, 97.798450
609.000000, 97.909710
610.000000, 97.936920
611.000000, 97.923790
612.000000, 97.868950
613.000000, 97.802400
614.000000, 97.724370
615.000000, 97.629380
616.000000, 97.551950
617.000000, 97.520370
618.000000, 97.509320
619.000000, 97.520910
620.000000, 97.589760
621.000000, 97.678980
622.000000, 97.792580
623.000000, 97.912340
624.000000, 98.033810
625.000000, 98.152670
626.000000, 98.237850
627.000000, 98.287170
628.000000, 98.294090
629.000000, 98.277670
630.000000, 98.201680
631.000000, 98.095280
632.000000, 97.928930
633.000000, 97.735360
634.000000, 97.498970
635.000000, 97.231130
636.000000, 96.948380
637.000000, 96.659610
638.000000, 96.372010
639.000000, 96.180900
640.000000, 96.054490
641.000000, 96.004670
642.000000, 96.034600
643.000000, 96.134160
644.000000, 96.247390
645.000000, 96.406430
646.000000, 96.578320
647.000000, 96.731240
648.000000, 96.915020
649.000000, 97.090360
650.000000, 97.287470
651.000000, 97.471260
652.000000, 97.641470
653.000000, 97.786520
654.000000, 97.910630
655.000000, 98.002120
656.000000, 98.057670
657.000000, 98.119460
658.000000, 98.181130
659.000000, 98.273740
660.000000, 98.377650
661.000000, 98.501070
662.000000, 98.606570
663.000000, 98.719050
664.000000, 98.827850
665.000000, 98.897930
666.000000, 98.952220
667.000000, 98.990070
668.000000, 99.048720
669.000000, 99.119530
670.000000, 99.196650
671.000000, 99.291910
672.000000, 99.360010
673.000000, 99.456030
674.000000, 99.510740
675.000000, 99.521640
676.000000, 99.504690
677.000000, 99.424320
678.000000, 99.337040
679.000000, 99.254900
680.000000, 99.134780
681.000000, 99.039850
682.000000, 98.972350
683.000000, 98.933420
684.000000, 98.916460
685.000000, 98.932070
686.000000, 98.955910
687.000000, 99.021830
688.000000, 99.112280
689.000000, 99.230850
690.000000, 99.340610
691.000000, 99.471220
692.000000, 99.550230
693.000000, 99.628650
694.000000, 99.700790
695.000000, 99.727120
696.000000, 99.712260
697.000000, 99.751140
698.000000, 99.762570
699.000000, 99.795000
700.000000, 99.778160
701.000000, 99.758260
702.000000, 99.762430
703.000000, 99.729540
704.000000, 99.699030
705.000000, 99.643450
706.000000, 99.575900
707.000000, 99.518240
708.000000, 99.487840
709.000000, 99.459060
710.000000, 99.441660
711.000000, 99.444420
712.000000, 99.444510
713.000000, 99.477620
714.000000, 99.474140
715.000000, 99.499660
716.000000, 99.490830
717.000000, 99.520220
718.000000, 99.519090
719.000000, 99.578490
720.000000, 99.775410
721.000000, 99.832910
722.000000, 99.884390
723.000000, 99.904700
724.000000, 99.931550
725.000000, 99.937500
726.000000, 99.960420
727.000000, 99.941850
728.000000, 99.924710
729.000000, 99.953330
730.000000, 99.947450
731.000000, 99.960040
732.000000, 99.948250
733.000000, 99.935210
734.000000, 99.940470
735.000000, 99.945490
736.000000, 99.945560
737.000000, 99.954060
738.000000, 99.946290
739.000000, 99.953550
740.000000, 99.936440
741.000000, 99.924150
742.000000, 99.914860
743.000000, 99.911560
744.000000, 99.876750
745.000000, 99.851020
746.000000, 99.828900
747.000000, 99.762580
748.000000, 99.726560
749.000000, 99.706050
750.000000, 99.671300
751.000000, 99.652610
752.000000, 99.649110
753.000000, 99.640610
754.000000, 99.653220
755.000000, 99.640170
756.000000, 99.629900
757.000000, 99.637650
758.000000, 99.638120
759.000000, 99.645800
760.000000, 99.649380
761.000000, 99.665580
762.000000, 99.707540
763.000000, 99.714420
764.000000, 99.764720
765.000000, 99.795590
766.000000, 99.822040
767.000000, 99.831140
768.000000, 99.843970
769.000000, 99.852300
770.000000, 99.847080
771.000000, 99.846890
772.000000, 99.868490
773.000000, 99.852010
774.000000, 99.851330
775.000000, 99.841470
776.000000, 99.827880
777.000000, 99.835870
778.000000, 99.819030
779.000000, 99.797500
780.000000, 99.777580
781.000000, 99.769240
782.000000, 99.728510
783.000000, 99.719630
784.000000, 99.702310
785.000000, 99.678720
786.000000, 99.647170
787.000000, 99.632390
788.000000, 99.630630
789.000000, 99.619280
790.000000, 99.606210
791.000000, 99.593740
792.000000, 99.589290
793.000000, 99.607410
794.000000, 99.579910
795.000000, 99.565540
796.000000, 99.567930
797.000000, 99.544320
798.000000, 99.538130
799.000000, 99.509330
800.000000, 99.504550
801.000000, 99.469420
802.000000, 99.451950
803.000000, 99.388040
804.000000, 99.306410
805.000000, 99.173950
