# Wavelength  (nm), Reflectance (%)
502.000000, 64.573850
503.000000, 61.176830
504.000000, 58.285050
505.000000, 55.956700
506.000000, 54.094320
507.000000, 52.465120
508.000000, 50.760180
509.000000, 48.769680
510.000000, 46.375560
511.000000, 43.496190
512.000000, 40.216510
513.000000, 36.606200
514.000000, 32.777970
515.000000, 28.827800
516.000000, 24.898370
517.000000, 21.054120
518.000000, 17.502860
519.000000, 14.215000
520.000000, 8.317090
521.000000, 7.910900
522.000000, 7.006190
523.000000, 5.595050
524.000000, 4.636980
525.000000, 4.024800
526.000000, 3.654920
527.000000, 3.401700
528.000000, 3.184200
529.000000, 2.995100
530.000000, 2.801180
531.000000, 2.609620
532.000000, 2.429100
533.000000, 2.279820
534.000000, 2.154620
535.000000, 2.068050
536.000000, 1.985200
537.000000, 1.915300
538.000000, 1.843980
539.000000, 1.766790
540.000000, 1.695310
541.000000, 1.628070
542.000000, 1.584330
543.000000, 1.556110
544.000000, 1.566600
545.000000, 1.591640
546.000000, 1.643520
547.000000, 1.712870
548.000000, 1.794480
549.000000, 1.866290
550.000000, 1.915890
551.000000, 1.950400
552.000000, 1.951040
553.000000, 1.931210
554.000000, 1.889700
555.000000, 1.826350
556.000000, 1.751920
557.000000, 1.681060
558.000000, 1.617670
559.000000, 1.566040
560.000000, 1.530420
561.000000, 1.508150
562.000000, 1.493780
563.000000, 1.506120
564.000000, 1.519290
565.000000, 1.548320
566.000000, 1.562820
567.000000, 1.580300
568.000000, 1.579410
569.000000, 1.591250
570.000000, 1.580430
571.000000, 1.575670
572.000000, 1.568370
573.000000, 1.574130
574.000000, 1.574320
575.000000, 1.587250
576.000000, 1.610970
577.000000, 1.644330
578.000000, 1.686120
579.000000, 1.728100
580.000000, 1.779670
581.000000, 1.835340
582.000000, 1.889260
583.000000, 1.938790
584.000000, 1.978990
585.000000, 2.005090
586.000000, 2.023270
587.000000, 2.027050
588.000000, 2.012150
589.000000, 2.001830
590.000000, 1.974400
591.000000, 1.941910
592.000000, 1.906460
593.000000, 1.875310
594.000000, 1.833910
595.000000, 1.798260
596.000000, 1.764460
597.000000, 1.732140
598.000000, 1.693640
599.000000, 1.666870
600.000000, 1.643920
601.000000, 1.616450
602.000000, 1.587430
603.000000, 1.559020
604.000000, 1.539290
605.000000, 1.508140
606.000000, 1.475870
607.000000, 1.448610
608.000000, 1.410750
609.000000, 1.392180
610.000000, 1.353800
611.000000, 1.324510
612.000000, 1.293070
613.000000, 1.266400
614.000000, 1.232840
615.000000, 1.215210
616.000000, 1.204190
617.000000, 1.189480
618.000000, 1.167260
619.000000, 1.160100
620.000000, 1.154690
621.000000, 1.147870
622.000000, 1.146740
623.000000, 1.141290
624.000000, 1.140510
625.000000, 1.136680
626.000000, 1.142640
627.000000, 1.139580
628.000000, 1.144290
629.000000, 1.149090
630.000000, 1.160380
631.000000, 1.170460
632.000000, 1.183810
633.000000, 1.195830
634.000000, 1.216790
635.000000, 1.227460
636.000000, 1.248140
637.000000, 1.262720
638.000000, 1.280430
639.000000, 1.295680
640.000000, 1.310900
641.000000, 1.324280
642.000000, 1.338020
643.000000, 1.355750
644.000000, 1.354250
645.000000, 1.360980
646.000000, 1.370130
647.000000, 1.360300
648.000000, 1.361550
649.000000, 1.366480
650.000000, 1.359400
651.000000, 1.349300
652.000000, 1.347090
653.000000, 1.343180
654.000000, 1.344000
655.000000, 1.342580
656.000000, 1.339660
657.000000, 1.342510
658.000000, 1.337300
659.000000, 1.339500
660.000000, 1.341470
661.000000, 1.331110
662.000000, 1.336240
663.000000, 1.339660
664.000000, 1.328610
665.000000, 1.324690
666.000000, 1.328110
667.000000, 1.312780
668.000000, 1.311780
669.000000, 1.294190
670.000000, 1.287610
671.000000, 1.268620
672.000000, 1.264420
673.000000, 1.254180
674.000000, 1.234080
675.000000, 1.226410
676.000000, 1.217890
677.000000, 1.198590
678.000000, 1.194350
679.000000, 1.185630
680.000000, 1.189590
681.000000, 1.179790
682.000000, 1.177430
683.000000, 1.178650
684.000000, 1.181380
685.000000, 1.188760
686.000000, 1.197100
687.000000, 1.203170
688.000000, 1.206870
689.000000, 1.209950
690.000000, 1.222620
691.000000, 1.231850
692.000000, 1.231770
693.000000, 1.230890
694.000000, 1.226520
695.000000, 1.230960
696.000000, 1.235940
697.000000, 1.227270
698.000000, 1.220750
699.000000, 1.210770
700.000000, 1.205780
701.000000, 1.204900
702.000000, 1.200380
703.000000, 1.204690
704.000000, 1.200550
705.000000, 1.188420
706.000000, 1.187850
707.000000, 1.191560
708.000000, 1.191300
709.000000, 1.195270
710.000000, 1.189910
711.000000, 1.196970
712.000000, 1.217080
713.000000, 1.229210
714.000000, 1.230510
715.000000, 1.250260
716.000000, 1.239630
717.000000, 1.251600
718.000000, 1.263500
719.000000, 1.266570
720.000000, 1.289890
721.000000, 1.283670
722.000000, 1.283820
723.000000, 1.274480
724.000000, 1.271250
725.000000, 1.260760
726.000000, 1.250420
727.000000, 1.227810
728.000000, 1.212790
729.000000, 1.204150
730.000000, 1.171850
731.000000, 1.168750
732.000000, 1.135300
733.000000, 1.124260
734.000000, 1.110500
735.000000, 1.089680
736.000000, 1.071650
737.000000, 1.055760
738.000000, 1.040750
739.000000, 1.032110
740.000000, 1.023950
741.000000, 1.025810
742.000000, 1.017380
743.000000, 1.020520
744.000000, 1.013400
745.000000, 1.014780
746.000000, 1.018130
747.000000, 1.021720
748.000000, 1.029930
749.000000, 1.046100
750.000000, 1.048310
751.000000, 1.056710
752.000000, 1.064190
753.000000, 1.076770
754.000000, 1.081160
755.000000, 1.099340
756.000000, 1.101380
757.000000, 1.102470
758.000000, 1.108030
759.000000, 1.114390
760.000000, 1.121470
761.000000, 1.115810
762.000000, 1.129500
763.000000, 1.136980
764.000000, 1.127640
765.000000, 1.134000
766.000000, 1.135880
767.000000, 1.139060
768.000000, 1.141420
769.000000, 1.151720
770.000000, 1.140360
771.000000, 1.153500
772.000000, 1.147920
773.000000, 1.150670
774.000000, 1.167430
775.000000, 1.169320
776.000000, 1.171640
777.000000, 1.179260
778.000000, 1.186640
779.000000, 1.180880
780.000000, 1.194030
781.000000, 1.192290
782.000000, 1.196920
783.000000, 1.205210
784.000000, 1.207240
785.000000, 1.214690
786.000000, 1.220830
787.000000, 1.227220
788.000000, 1.226060
789.000000, 1.237960
790.000000, 1.245700
791.000000, 1.251440
792.000000, 1.257010
793.000000, 1.263630
794.000000, 1.283330
795.000000, 1.294070
796.000000, 1.299820
797.000000, 1.311510
798.000000, 1.333260
799.000000, 1.344920
800.000000, 1.361940
801.000000, 1.378960
802.000000, 1.411090
803.000000, 1.426130
804.000000, 1.457870
805.000000, 1.475270
806.000000, 1.504490
807.000000, 1.526640
808.000000, 1.565820
809.000000, 1.593020
810.000000, 1.630010
811.000000, 1.669710
812.000000, 1.711790
813.000000, 1.770420
814.000000, 1.817970
815.000000, 1.883330
816.000000, 1.954240
817.000000, 2.037270
818.000000, 2.122400
819.000000, 2.226530
820.000000, 2.349330
821.000000, 2.477630
822.000000, 2.622800
823.000000, 2.797240
824.000000, 2.988370
825.000000, 3.200500
826.000000, 3.437200
827.000000, 3.689970
828.000000, 3.974140
829.000000, 4.291040
830.000000, 4.645230
831.000000, 5.016690
832.000000, 5.426350
833.000000, 5.866150
834.000000, 6.323300
835.000000, 6.828820
836.000000, 7.374970
837.000000, 7.940660
838.000000, 8.525750
839.000000, 9.152090
840.000000, 9.814500
841.000000, 10.473050
842.000000, 11.201570
843.000000, 11.940970
844.000000, 12.665810
845.000000, 13.453020
846.000000, 14.254610
847.000000, 15.052620
848.000000, 15.902350
849.000000, 16.784430
850.000000, 17.625020
851.000000, 18.523530
852.000000, 19.445790
853.000000, 20.346570
854.000000, 21.290200
855.000000, 22.276150
856.000000, 23.247840
857.000000, 24.230890
858.000000, 25.249810
859.000000, 26.305260
860.000000, 27.334680
861.000000, 28.458120
862.000000, 29.583260
863.000000, 30.682520
864.000000, 31.860930
865.000000, 33.056190
866.000000, 34.248300
867.000000, 35.495950
868.000000, 36.809250
869.000000, 38.052750
870.000000, 39.354550
871.000000, 40.717520
872.000000, 42.030330
873.000000, 43.413620
874.000000, 44.833280
875.000000, 46.201300
876.000000, 47.600400
877.000000, 48.988550
878.000000, 50.407250
879.000000, 51.752670
880.000000, 53.181130
881.000000, 54.558260
882.000000, 55.870630
883.000000, 57.206100
884.000000, 58.533730
885.000000, 59.775340
886.000000, 61.046360
887.000000, 62.287310
888.000000, 63.428450
889.000000, 64.579650
890.000000, 65.706010
891.000000, 66.743090
892.000000, 67.771230
