# Wavelength  (nm), Reflectance (%)
250.000000, 5.177386
251.000000, 5.781063
252.000000, 6.216301
253.000000, 6.167608
254.000000, 7.924119
255.000000, 6.717210
256.000000, 6.815599
257.000000, 7.553908
258.000000, 8.267952
259.000000, 8.692268
260.000000, 9.789441
261.000000, 11.388310
262.000000, 13.383264
263.000000, 14.055455
264.000000, 15.645507
265.000000, 17.983719
266.000000, 19.896036
267.000000, 22.731421
268.000000, 24.457176
269.000000, 25.923647
270.000000, 28.557311
271.000000, 29.241062
272.000000, 31.372318
273.000000, 32.134622
274.000000, 32.037018
275.000000, 33.052125
276.000000, 33.235636
277.000000, 34.092382
278.000000, 33.657882
279.000000, 35.983020
280.000000, 36.025021
281.000000, 37.261889
282.000000, 38.273823
283.000000, 40.245925
284.000000, 42.324750
285.000000, 44.287818
286.000000, 46.737383
287.000000, 49.390472
288.000000, 52.179494
289.000000, 55.832367
290.000000, 60.422905
291.000000, 64.403318
292.000000, 69.466067
293.000000, 73.927545
294.000000, 78.654088
295.000000, 80.817078
296.000000, 83.864672
297.000000, 86.895576
298.000000, 89.320095
299.000000, 90.858611
300.000000, 92.225669
301.000000, 93.462062
302.000000, 94.531156
303.000000, 95.165518
304.000000, 95.562340
305.000000, 95.172757
306.000000, 95.686534
307.000000, 94.744511
308.000000, 94.585870
309.000000, 94.509662
310.000000, 91.919427
311.000000, 87.792496
312.000000, 84.069653
313.000000, 77.011785
314.000000, 71.619493
315.000000, 66.874235
316.000000, 61.587499
317.000000, 57.597827
318.000000, 55.696621
319.000000, 53.556837
320.000000, 49.046532
321.000000, 48.749648
322.000000, 46.979876
323.000000, 45.974946
324.000000, 46.242804
325.000000, 46.253503
326.000000, 48.205038
327.000000, 52.588484
328.000000, 55.489807
329.000000, 59.377892
330.000000, 61.883934
331.000000, 63.022163
332.000000, 63.869553
333.000000, 65.961637
334.000000, 68.383488
335.000000, 71.196666
336.000000, 74.469795
337.000000, 76.593408
338.000000, 78.365448
339.000000, 80.997927
340.000000, 81.636078
341.000000, 82.291824
342.000000, 83.761318
343.000000, 86.204735
344.000000, 87.599684
345.000000, 89.400578
346.000000, 89.902282
347.000000, 91.061105
348.000000, 91.394043
349.000000, 92.339313
350.000000, 92.815331
351.000000, 93.305554
352.000000, 93.223183
353.000000, 94.136732
354.000000, 94.726660
355.000000, 94.583025
356.000000, 95.439510
357.000000, 95.519843
358.000000, 94.878781
359.000000, 95.036861
360.000000, 95.382146
361.000000, 95.564411
362.000000, 95.829875
363.000000, 96.505120
364.000000, 97.201317
365.000000, 96.778839
366.000000, 96.519723
367.000000, 96.876311
368.000000, 96.819777
369.000000, 96.726767
370.000000, 96.907664
371.000000, 97.567952
372.000000, 97.949505
373.000000, 98.336103
374.000000, 98.372889
375.000000, 98.448518
376.000000, 98.259089
377.000000, 97.986900
378.000000, 97.668282
379.000000, 97.954600
380.000000, 98.091551
381.000000, 97.925850
382.000000, 98.471928
383.000000, 98.278226
384.000000, 98.379767
385.000000, 98.211960
386.000000, 98.141399
387.000000, 98.200104
388.000000, 98.089399
389.000000, 98.156308
390.000000, 97.974448
391.000000, 97.982965
392.000000, 97.889241
393.000000, 97.884696
394.000000, 97.963940
395.000000, 98.009491
396.000000, 98.317644
397.000000, 98.511717
398.000000, 98.574856
399.000000, 98.734635
400.000000, 98.595496
401.000000, 98.619992
402.000000, 98.338771
403.000000, 97.995436
404.000000, 97.771584
405.000000, 97.716210
406.000000, 97.468844
407.000000, 97.541059
408.000000, 97.599605
409.000000, 97.820152
410.000000, 98.130199
411.000000, 98.269987
412.000000, 98.492886
413.000000, 98.642369
414.000000, 98.709336
415.000000, 98.789829
416.000000, 98.915915
417.000000, 99.003006
418.000000, 98.960895
419.000000, 99.069265
420.000000, 99.147809
421.000000, 99.181479
422.000000, 99.325570
423.000000, 99.317611
424.000000, 99.422460
425.000000, 99.541370
426.000000, 99.570859
427.000000, 99.670858
428.000000, 99.602642
429.000000, 99.597332
430.000000, 99.634512
431.000000, 99.605245
432.000000, 99.505562
433.000000, 99.446097
434.000000, 99.416543
435.000000, 99.448958
436.000000, 99.420910
437.000000, 99.473600
438.000000, 99.484939
439.000000, 99.537069
440.000000, 99.648794
441.000000, 99.619327
442.000000, 99.680399
443.000000, 99.726188
444.000000, 99.679037
445.000000, 99.630374
446.000000, 99.563271
447.000000, 99.543380
448.000000, 99.509525
449.000000, 99.471323
450.000000, 99.515461
451.000000, 99.494517
452.000000, 99.581189
453.000000, 99.662637
454.000000, 99.702922
455.000000, 99.780156
456.000000, 99.786256
457.000000, 99.832622
458.000000, 99.809702
459.000000, 99.822784
460.000000, 99.764970
461.000000, 99.720116
462.000000, 99.700854
463.000000, 99.574306
464.000000, 99.492262
465.000000, 99.443634
466.000000, 99.441579
467.000000, 99.452914
468.000000, 99.487165
469.000000, 99.561328
470.000000, 99.602456
471.000000, 99.676846
472.000000, 99.658256
473.000000, 99.734392
474.000000, 99.751536
475.000000, 99.759234
476.000000, 99.805300
477.000000, 99.723732
478.000000, 99.678059
479.000000, 99.598263
480.000000, 99.529257
481.000000, 99.480203
482.000000, 99.462646
483.000000, 99.508109
484.000000, 99.511574
485.000000, 99.517681
486.000000, 99.470494
487.000000, 99.463343
488.000000, 99.455968
489.000000, 99.515867
490.000000, 99.614639
491.000000, 99.715795
492.000000, 99.799825
493.000000, 99.837368
494.000000, 99.891415
495.000000, 99.920579
496.000000, 99.892675
497.000000, 99.844048
498.000000, 99.789300
499.000000, 99.695085
500.000000, 99.585637
501.000000, 99.506246
502.000000, 99.470910
503.000000, 99.456908
504.000000, 99.482492
505.000000, 99.553431
506.000000, 99.598389
507.000000, 99.688200
508.000000, 99.753889
509.000000, 99.839354
510.000000, 99.849058
511.000000, 99.862190
512.000000, 99.841031
513.000000, 99.748875
514.000000, 99.691448
515.000000, 99.603027
516.000000, 99.545658
517.000000, 99.487388
518.000000, 99.501496
519.000000, 99.475536
520.000000, 99.515504
521.000000, 99.592031
522.000000, 99.679012
523.000000, 99.746748
524.000000, 99.787003
525.000000, 99.812924
526.000000, 99.824514
527.000000, 99.802708
528.000000, 99.723512
529.000000, 99.522101
530.000000, 99.293619
531.000000, 99.044743
532.000000, 98.786176
533.000000, 98.554224
534.000000, 98.396446
535.000000, 98.350607
536.000000, 98.410896
537.000000, 98.540997
538.000000, 98.797488
539.000000, 99.003174
540.000000, 99.262623
541.000000, 99.446941
542.000000, 99.559637
543.000000, 99.583785
544.000000, 99.546845
545.000000, 99.459296
546.000000, 99.353957
547.000000, 99.233695
548.000000, 99.116340
549.000000, 98.952733
550.000000, 98.746730
551.000000, 98.379657
552.000000, 97.787856
553.000000, 96.760041
554.000000, 95.133169
555.000000, 92.602932
556.000000, 89.192682
557.000000, 84.819628
558.000000, 79.712873
559.000000, 74.314934
560.000000, 68.928862
561.000000, 63.955699
562.000000, 59.669993
563.000000, 56.361998
564.000000, 54.153485
565.000000, 52.830483
566.000000, 52.207788
567.000000, 51.866515
568.000000, 51.510994
569.000000, 50.866835
570.000000, 49.755636
571.000000, 47.910829
572.000000, 44.959751
573.000000, 40.721284
574.000000, 35.101190
575.000000, 28.577101
576.000000, 21.658784
577.000000, 15.191232
578.000000, 10.013714
579.000000, 6.436640
580.000000, 4.313839
581.000000, 3.327919
582.000000, 3.048285
583.000000, 2.958401
584.000000, 2.936358
585.000000, 2.857618
586.000000, 2.745520
587.000000, 2.621619
588.000000, 2.528939
589.000000, 2.418568
590.000000, 2.337890
591.000000, 2.259988
592.000000, 2.163646
593.000000, 2.092596
594.000000, 2.000457
595.000000, 1.910376
596.000000, 1.859052
597.000000, 1.796224
598.000000, 1.711055
