# Wavelength (um),Conductivity
1.054577101637309333e+00, 9.999999984299999811e-01
1.054774875943839563e+00, 9.999999991300000390e-01
1.054972724445064625e+00, 1.000000000000000000e+00
1.055170647182743782e+00, 1.000000000000000000e+00
1.055368644198666717e+00, 9.999999996799999735e-01
1.055566715534655531e+00, 9.999999985699999927e-01
1.055764861232562968e+00, 9.999999141900000055e-01
1.055963081334273301e+00, 9.999996145799999736e-01
1.056161375881702558e+00, 9.999999993200000548e-01
1.056359744916798293e+00, 1.000000000000000000e+00
1.056558188481538929e+00, 1.000000000000000000e+00
1.056756706617935304e+00, 1.000000000000000000e+00
1.056955299368029122e+00, 9.999999998799999901e-01
1.057153966773894060e+00, 9.999999988600000167e-01
1.057352708877635328e+00, 9.999999904599999878e-01
1.057551525721390107e+00, 9.999999979600000533e-01
1.057750417347326888e+00, 9.999999996499999710e-01
1.057949383797645915e+00, 9.999999988300000142e-01
1.058148425114579405e+00, 9.999999956299999715e-01
1.058347541340391107e+00, 9.999996032400000345e-01
1.058546732517376965e+00, 9.999999879500000022e-01
1.058745998687864454e+00, 9.999998233500000389e-01
1.058945339894212578e+00, 9.999996826899999469e-01
1.059144756178813429e+00, 9.999997445399999574e-01
1.059344247584089960e+00, 9.999999987400000068e-01
1.059543814152497321e+00, 9.999999957399999806e-01
1.059743455926522859e+00, 9.999999922500000249e-01
1.059943172948685897e+00, 9.999999992500000490e-01
1.060142965261537507e+00, 9.999999976400000268e-01
1.060342832907661181e+00, 9.999998717600000475e-01
1.060542775929672832e+00, 9.999999971999999904e-01
1.060742794370220121e+00, 9.999999991000000366e-01
1.060942888271982465e+00, 9.999999923100000299e-01
1.061143057677672141e+00, 9.999990823300000109e-01
1.061343302630033625e+00, 9.999999979899999447e-01
1.061543623171843587e+00, 9.999999790200000405e-01
1.061744019345910228e+00, 9.999999996999999752e-01
1.061944491195075724e+00, 9.999999988500000159e-01
1.062145038762213112e+00, 9.999999957599999822e-01
1.062345662090228515e+00, 9.999998589399999860e-01
1.062546361222060254e+00, 9.999992997500000147e-01
1.062747136200679288e+00, 9.999998275700000550e-01
1.062947987069088995e+00, 9.999999638800000090e-01
1.063148913870325174e+00, 9.999999879900000055e-01
1.063349916647455817e+00, 9.999999428200000429e-01
1.063550995443582670e+00, 9.999999986399999985e-01
1.063752150301838784e+00, 9.999999990600000332e-01
1.063953381265390741e+00, 9.999999988200000134e-01
1.064154688377437097e+00, 9.999999585000000080e-01
1.064356071681209714e+00, 9.999999994099999512e-01
1.064557531219972653e+00, 9.999999908500000201e-01
1.064759067037023055e+00, 9.999997685000000525e-01
1.064960679175691149e+00, 9.999999465500000184e-01
1.065162367679339361e+00, 9.999998277999999630e-01
1.065364132591363422e+00, 9.999997878099999848e-01
1.065565973955191481e+00, 9.999999943399999758e-01
1.065767891814284996e+00, 9.999999877199999831e-01
1.065969886212138507e+00, 9.999999910500000366e-01
1.066171957192279196e+00, 9.999999983299999728e-01
1.066374104798266886e+00, 9.999999916199999728e-01
1.066576329073695817e+00, 9.999999596199999896e-01
1.066778630062191979e+00, 9.999999967399999523e-01
1.066981007807414894e+00, 9.999999295000000510e-01
1.067183462353057166e+00, 9.999999894800000177e-01
1.067385993742844708e+00, 9.999999902699999721e-01
1.067588602020536515e+00, 9.999992915199999999e-01
1.067791287229924668e+00, 9.999999767199999612e-01
1.067994049414835001e+00, 9.999993403300000416e-01
1.068196888619126428e+00, 9.999999842200000266e-01
1.068399804886690729e+00, 9.999996369700000498e-01
1.068602798261453879e+00, 9.999999339799999776e-01
1.068805868787374269e+00, 9.999999232199999755e-01
1.069009016508444487e+00, 9.999999871400000462e-01
1.069212241468689983e+00, 9.999999535200000400e-01
1.069415543712170402e+00, 9.999992859399999823e-01
1.069618923282978473e+00, 9.999999489499999950e-01
1.069822380225240455e+00, 9.999998598199999478e-01
1.070025914583116133e+00, 9.999999532400000168e-01
1.070229526400799269e+00, 9.999969776199999494e-01
1.070433215722516707e+00, 9.999999733500000154e-01
1.070636982592529485e+00, 9.999999601300000318e-01
1.070840827055131728e+00, 9.999999382499999978e-01
1.071044749154652420e+00, 9.999999689299999828e-01
1.071248748935453188e+00, 9.999999640300000214e-01
1.071452826441930073e+00, 9.999999559200000165e-01
1.071656981718512425e+00, 9.999999689299999828e-01
1.071861214809664231e+00, 9.999998496699999961e-01
1.072065525759882787e+00, 9.999997512899999608e-01
1.072269914613699138e+00, 9.999998113100000419e-01
1.072474381415679190e+00, 9.999998202900000077e-01
1.072678926210421935e+00, 9.999997982199999580e-01
1.072883549042561224e+00, 9.999998912099999915e-01
1.073088249956763995e+00, 9.999998798000000466e-01
1.073293028997732046e+00, 9.999999613400000209e-01
1.073497886210200924e+00, 9.999999944599999857e-01
1.073702821638940597e+00, 9.999999969199999672e-01
1.073907835328755223e+00, 9.999999808399999690e-01
1.074112927324482714e+00, 9.999999066100000444e-01
1.074318097670996064e+00, 9.999999408899999942e-01
1.074523346413201574e+00, 9.999997409399999926e-01
1.074728673596040629e+00, 9.999960935399999640e-01
1.074934079264488807e+00, 9.999986647999999922e-01
1.075139563463555881e+00, 9.999999563200000496e-01
1.075345126238286042e+00, 9.999990882899999489e-01
1.075550767633758342e+00, 9.999989140499999651e-01
1.075756487695085806e+00, 9.999976560800000192e-01
1.075962286467416318e+00, 9.999999877299999840e-01
1.076168163995932181e+00, 9.999999757099999886e-01
1.076374120325850114e+00, 9.999994636900000344e-01
1.076580155502421920e+00, 9.999998890900000381e-01
1.076786269570933596e+00, 9.999999724500000520e-01
1.076992462576706222e+00, 9.999998755000000239e-01
1.077198734565095295e+00, 9.999987153699999576e-01
1.077405085581491173e+00, 9.999985393700000502e-01
1.077611515671319076e+00, 9.999964699600000229e-01
1.077818024880038861e+00, 9.999998751299999933e-01
1.078024613253145247e+00, 9.999999466300000250e-01
1.078231280836167816e+00, 9.999978520000000204e-01
1.078438027674671673e+00, 9.999981671200000033e-01
1.078644853814256122e+00, 9.999999487799999809e-01
1.078851759300555768e+00, 9.999999906700000052e-01
1.079058744179240081e+00, 9.999999847599999603e-01
1.079265808496013834e+00, 9.999997766399999488e-01
1.079472952296616883e+00, 9.999993971099999657e-01
1.079680175626823724e+00, 9.999998867199999530e-01
1.079887478532444378e+00, 9.999997296599999475e-01
1.080094861059324174e+00, 9.999995342899999917e-01
1.080302323253343744e+00, 9.999951840199999831e-01
1.080509865160418581e+00, 9.999997467500000292e-01
1.080717486826499707e+00, 9.999992772500000404e-01
1.080925188297573225e+00, 9.999937220300000318e-01
1.081132969619660988e+00, 9.999997145900000328e-01
1.081340830838819711e+00, 9.999948280699999525e-01
1.081548772001142300e+00, 9.999991960199999808e-01
1.081756793152756302e+00, 9.999997838399999894e-01
1.081964894339825678e+00, 9.999994862500000137e-01
1.082173075608548807e+00, 9.999991042300000466e-01
1.082381337005160482e+00, 9.999999517600000054e-01
1.082589678575930803e+00, 9.999999124099999692e-01
1.082798100367165395e+00, 9.999999902199999680e-01
1.083006602425205855e+00, 9.999999410200000050e-01
1.083215184796429309e+00, 9.999998289899999504e-01
1.083423847527248407e+00, 9.999980512599999649e-01
1.083632590664111994e+00, 9.999981656399999919e-01
1.083841414253504221e+00, 9.999996348399999846e-01
1.084050318341945651e+00, 9.999961037700000333e-01
1.084259302975992156e+00, 9.999997293800000353e-01
1.084468368202235578e+00, 9.999995759900000003e-01
1.084677514067304616e+00, 9.999990006800000275e-01
1.084886740617862833e+00, 9.999995008199999980e-01
1.085096047900610206e+00, 9.999998353900000359e-01
1.085305435962282683e+00, 9.999949992400000154e-01
1.085514904849652407e+00, 9.999989442000000173e-01
1.085724454609527712e+00, 9.999998275700000550e-01
1.085934085288752682e+00, 9.999986129600000329e-01
1.086143796934208039e+00, 9.999960208000000517e-01
1.086353589592810698e+00, 9.999909799299999680e-01
1.086563463311513766e+00, 9.999991243500000460e-01
1.086773418137306102e+00, 9.999996945300000384e-01
1.086983454117213643e+00, 9.999993670800000345e-01
1.087193571298298522e+00, 9.999949111300000526e-01
1.087403769727658620e+00, 9.999997577100000479e-01
1.087614049452429565e+00, 9.999998384099999527e-01
1.087824410519782070e+00, 9.999978346700000298e-01
1.088034852976923927e+00, 9.999998737499999901e-01
1.088245376871099790e+00, 9.999995727499999543e-01
1.088455982249590503e+00, 9.999984829700000466e-01
1.088666669159713329e+00, 9.999998080999999983e-01
1.088877437648822832e+00, 9.999997561100000265e-01
1.089088287764309104e+00, 9.999986473099999884e-01
1.089299219553600651e+00, 9.999956448200000292e-01
1.089510233064161282e+00, 9.999736626199999812e-01
1.089721328343492113e+00, 9.999984191299999825e-01
1.089932505439131116e+00, 9.999997750200000368e-01
1.090143764398652904e+00, 9.999953078700000164e-01
1.090355105269669389e+00, 9.999891918200000118e-01
1.090566528099828680e+00, 9.999985926900000210e-01
1.090778032936817077e+00, 9.999981075699999611e-01
1.090989619828356627e+00, 9.999997842400000225e-01
1.091201288822207127e+00, 9.999971857399999609e-01
1.091413039966165011e+00, 9.999988938599999599e-01
1.091624873308064014e+00, 9.999997374100000336e-01
1.091836788895775401e+00, 9.999926561299999905e-01
1.092048786777206848e+00, 9.999993720500000016e-01
1.092260867000303781e+00, 9.999995993800000482e-01
1.092473029613049151e+00, 9.999973106599999717e-01
1.092685274663462325e+00, 9.999937923899999692e-01
1.092897602199600637e+00, 9.999964774999999806e-01
1.093110012269558728e+00, 9.999987466099999889e-01
1.093322504921468319e+00, 9.999985407000000492e-01
1.093535080203498877e+00, 9.999995623299999803e-01
1.093747738163856953e+00, 9.999980619799999637e-01
1.093960478850787510e+00, 9.999994210299999464e-01
1.094173302312571927e+00, 9.999954593800000069e-01
1.094386208597529775e+00, 9.999992355700000335e-01
1.094599197754018149e+00, 9.999975800399999448e-01
1.094812269830431894e+00, 9.999968487400000550e-01
1.095025424875203157e+00, 9.999950476500000240e-01
1.095238662936802054e+00, 9.999980955299999641e-01
1.095451984063736894e+00, 9.999994214899999845e-01
1.095665388304553067e+00, 9.999988245299999967e-01
1.095878875707834377e+00, 9.999830635199999929e-01
1.096092446322201930e+00, 9.999960263199999533e-01
1.096306100196315025e+00, 9.999683405499999456e-01
1.096519837378871154e+00, 9.999909182399999708e-01
1.096733657918605553e+00, 9.999998238299999676e-01
1.096947561864290988e+00, 9.999999371100000145e-01
1.097161549264739522e+00, 9.999996095299999999e-01
1.097375620168800303e+00, 9.999995903999999713e-01
1.097589774625360892e+00, 9.999542929400000446e-01
1.097804012683347041e+00, 9.999956405300000073e-01
1.098018334391722473e+00, 9.999472868500000056e-01
1.098232739799489543e+00, 9.999976212200000214e-01
1.098447228955688360e+00, 9.999986710399999534e-01
1.098661801909398328e+00, 9.999980793299999560e-01
1.098876458709736159e+00, 9.999449343499999809e-01
1.099091199405857644e+00, 9.999942771499999994e-01
1.099306024046956543e+00, 9.999986401599999519e-01
1.099520932682265251e+00, 9.999873034499999758e-01
1.099735925361054800e+00, 9.999749248299999449e-01
1.099951002132634414e+00, 9.998765539399999680e-01
1.100166163046352619e+00, 9.999984264200000306e-01
1.100381408151595686e+00, 9.999984585400000237e-01
1.100596737497789190e+00, 9.999771268299999516e-01
1.100812151134397121e+00, 9.999983144099999777e-01
1.101027649110922102e+00, 9.999691575000000388e-01
1.101243231476905837e+00, 9.999941580500000260e-01
1.101458898281928445e+00, 9.999993770799999737e-01
1.101674649575609122e+00, 9.999880597800000492e-01
1.101890485407606368e+00, 9.998768806100000184e-01
1.102106405827616875e+00, 9.999574965599999921e-01
1.102322410885376414e+00, 9.999931984300000076e-01
1.102538500630660279e+00, 9.999870592199999741e-01
1.102754675113282401e+00, 9.999906979899999548e-01
1.102970934383095569e+00, 9.999893984300000094e-01
1.103187278489992096e+00, 9.999955120300000333e-01
1.103403707483903373e+00, 9.999936031799999681e-01
1.103620221414800096e+00, 9.999964062099999662e-01
1.103836820332691815e+00, 9.999988986800000257e-01
1.104053504287627607e+00, 9.999946094999999646e-01
1.104270273329695851e+00, 9.999889080099999550e-01
1.104487127509024225e+00, 9.999212293900000548e-01
1.104704066875779267e+00, 9.999976327799999787e-01
1.104921091480168371e+00, 9.999794101400000246e-01
1.105138201372436901e+00, 9.999977916200000205e-01
1.105355396602870410e+00, 9.999835348600000229e-01
1.105572677221793754e+00, 9.998886826299999697e-01
1.105790043279571755e+00, 9.999703708799999591e-01
1.106007494826608539e+00, 9.999924954500000185e-01
1.106225031913347756e+00, 9.999384368799999478e-01
1.106442654590272801e+00, 9.999785110700000201e-01
1.106660362907907480e+00, 9.999826317700000189e-01
1.106878156916814238e+00, 9.999977337000000022e-01
1.107096036667596373e+00, 9.999988710199999575e-01
1.107314002210896486e+00, 9.999935669299999663e-01
1.107532053597396704e+00, 9.999901670999999936e-01
1.107750190877820229e+00, 9.999549066099999717e-01
1.107968414102928678e+00, 9.999861909699999662e-01
1.108186723323525413e+00, 9.999506218100000510e-01
1.108405118590452654e+00, 9.999922056000000170e-01
1.108623599954593031e+00, 9.999915735300000108e-01
1.108842167466869144e+00, 9.999864403599999507e-01
1.109060821178244005e+00, 9.999954695899999635e-01
1.109279561139720816e+00, 9.999857330800000499e-01
1.109498387402342523e+00, 9.999914429199999732e-01
1.109717300017193375e+00, 9.999907529699999520e-01
1.109936299035397145e+00, 9.999928120300000112e-01
