# Wavelength (nm), Reflection (%)
224.9578420246087, 4.396713350201736
233.2666499958323, 5.797541727774302
237.353088272068, 7.578828828828847
240.02583979328173, 9.184300579649431
244.20063349170627, 10.687984496124045
248.02602165692937, 12.389355528890405
251.60040010002498, 14.033102870312206
255.79728265399686, 15.552517633912998
259.99416520796876, 16.988034546174106
264.77339031727627, 18.33511100952964
267.7252646494958, 19.656880717927237
273.6892556472452, 20.971331796913233
279.9183129115612, 22.126161044765695
292.2438943069101, 23.180548413106578
306.8225389680754, 23.01398650235862
321.4011836292407, 22.044899021643204
334.65449695757275, 20.82512745303444
347.2451446194882, 19.62218031985475
361.161123614237, 18.40072630770308
375.7397682754023, 17.219650940581175
390.3184129365675, 16.270752782380697
404.8970575977328, 15.412706575497282
419.4757022588981, 14.564755029871321
434.0543469200634, 13.873270733735865
448.6329915812287, 14.019643321968914
463.65341335333835, 14.703977233046999
475.305284654497, 15.78431629303725
484.4169375677253, 17.267179970668366
491.8387930315913, 18.639465046441813
497.1883122295726, 20.086534737697548
501.31491206134876, 21.704204204204217
505.1804617821123, 23.317387154596474
507.6102358923065, 24.667618199594955
509.59823289155634, 25.89601229136116
513.1324497791115, 27.247014456316805
515.3965574727016, 28.54712270409948
518.7430190881054, 29.91570640407852
521.3936817537718, 31.34813883651094
523.8823594787588, 32.75589543031407
526.4299408185381, 34.21855576506741
528.7419076991471, 35.74784086411995
530.9692006334918, 37.17364166492075
534.0566202156601, 38.802036709013464
536.5024589480704, 40.5534604371814
539.4181878803033, 42.29310706054895
542.3339168125366, 43.92356309798171
544.3513656191826, 45.43927648578813
547.5910644327748, 46.987685359778396
549.3581728765525, 48.366007203216526
552.3401683754273, 49.64496473217406
555.8522964074352, 51.02465255953629
558.3409741324222, 52.379356100286344
560.8885554722015, 53.767372023186
563.5392181378679, 55.22756477407643
565.9248145369677, 56.687757524966855
568.2441443694257, 58.20208289685036
571.4470284237726, 59.603207859021836
574.2449501264206, 60.99739274157881
576.6599983329166, 62.345310426705794
579.8407935317164, 63.8721279418954
584.3469200633492, 65.4766743487674
588.4554471951321, 67.07011662825619
592.652329749104, 68.48034080592222
596.6283237476036, 69.80049817259123
600.6043177461032, 71.15150033754688
604.5803117446028, 72.4593197849012
608.7571135208046, 73.8204166111143
613.6367425189632, 75.30243906697396
619.6007335167126, 76.60300998673094
625.6383540329527, 77.91884908163979
632.191381178628, 79.22913611285705
639.3602188425895, 80.60907630675075
647.43269150621, 81.96392405694732
656.4260112647211, 83.20124110821789
667.5335500541804, 84.48879111669811
679.9033091606236, 85.90271667015855
693.8192881553723, 86.78700899631133
708.6819323878588, 87.694446938633
719.0005834792032, 88.90688786037626
733.5792281403685, 89.32076897193178
748.1578728015338, 89.99206394555233
762.7365174626991, 90.65831158854417
777.3151621238644, 90.94600943438155
791.8938067850297, 91.82424496377988
806.472451446195, 92.16746344653322
821.0510961073603, 92.71257515443565
834.7777420545614, 93.65101812776231
850.2083854296908, 93.848224545899
864.7870300908561, 93.82803522338409
879.3656747520215, 94.20153768990983
893.9443194131868, 94.56494549517808
908.5229640743521, 94.898069316674
923.1016087355174, 95.18071983188264
937.6802533966827, 95.26652445257099
952.2588980578478, 95.09491521119432
966.8375427190131, 95.82173082173085
981.4161873801784, 95.97819807122136
995.9948320413437, 96.07409735316713
1010.573476702509, 96.04886070002351
1025.1521213636743, 96.48797846472269
1039.7307660248396, 96.65454037547065
1054.3094106860049, 96.51826244849502
1068.8880553471702, 96.66968236735678
1083.4667000083355, 96.89176491502073
1098.0453446695008, 97.12898945457087
1112.623989330666, 97.18451009148686
1127.2026339918314, 97.0785161482836
1141.7812786529967, 97.07346881765488
1156.359923314162, 97.07346881765488
1170.9385679753273, 97.10880013205596
1185.5172126364926, 97.29555136531883
1200.0958572976579, 97.49744459046786
1214.6745019588232, 97.54791789675514
1229.2531466199885, 97.51763391298277
1243.8317912811538, 97.5428705661264
1258.410435942319, 97.62867518681475
1272.9890806034844, 97.62867518681475
1287.5677252646497, 97.63372251744346
1302.146369925815, 97.734669130018
1316.7250145869803, 97.73971646064672
1331.3036592481456, 97.78009510567651
1345.8823039093108, 97.85075773447869
1360.4609485704761, 97.9315150245383
1375.0395932316414, 97.96179900831066
1389.6182378928067, 97.96179900831066
1404.196882553972, 97.96179900831066
1418.7755272151371, 97.99713032271174
1433.3541718763024, 98.07284028214264
1447.9328165374677, 98.10312426591499
1462.511461198633, 98.18388155597461
1477.0901058597983, 98.18388155597461
1491.6687505209636, 98.18388155597461
1506.247395182129, 98.18388155597461
1520.8260398432942, 98.18388155597461
1535.4046845044595, 98.18388155597461
1549.9833291656248, 98.18388155597461
1564.56197382679, 98.27978083792038
1579.1406184879554, 98.37063278923748
1593.7192631491207, 98.46148474055452
1608.297907810286, 98.51700537747051
1622.8765524714513, 98.58262067564395
1637.4551971326166, 98.62804665130248
1652.033841793782, 98.62804665130248
1666.6124864549472, 98.62804665130248
1681.1911311161125, 98.62804665130248
1695.7697757772778, 98.62804665130248
1710.348420438443, 98.62804665130248
1724.9270650996084, 98.62804665130248
1739.5057097607737, 98.62804665130248
1754.084354421939, 98.62804665130248
1768.6629990831043, 98.62804665130248
1783.2416437442696, 98.62804665130248
1797.820288405435, 98.62804665130248
1812.3989330666002, 98.64823597381739
1826.9775777277655, 98.73908792513446
1841.5562223889308, 98.73908792513446
1856.134867050096, 98.73908792513446
1870.7135117112614, 98.82993987645152
1885.2921563724265, 98.85012919896643
1899.8708010335918, 98.85012919896643
1914.4494456947573, 98.74413525576318
