# Wavelength (nm), Reflection (%)
167.85446361590448, 30.547111593623214
181.10777694423632, 31.69902460600136
193.0357589397354, 32.88963381986639
206.28907226806723, 33.792545187894035
220.86771692923276, 33.54522598708647
235.44636159039783, 33.33323810067995
250.02500625156335, 33.84806582481002
265.04542802367314, 34.32083246036734
275.42719013086617, 32.946696696696705
280.7485962399692, 31.117459954669243
284.3179544886225, 29.57613136392206
287.61622223737777, 27.942688989200605
289.78494623655934, 26.465984256681907
292.7669417354341, 25.14836056987218
295.08627156789225, 23.800993684714598
297.7369342335587, 22.427849360988887
300.3875968992252, 20.991252880787755
303.03825956489163, 19.506075843285146
304.761190297575, 18.012570710245114
307.30877163735386, 16.541890727937243
309.79744936234056, 15.069976953697875
312.84571142785717, 13.493190865283879
315.62890722680686, 12.017729939241548
318.6109027256816, 10.643594175570911
322.0748368910413, 9.10100375216652
324.90622655663947, 7.714880578252661
329.54488622155577, 6.3446004143678465
336.57933714197816, 5.145449564054218
347.3421926910305, 6.03438987159916
351.14778694673714, 8.085480829666892
352.0755188797202, 9.603573673341117
353.8978494623657, 10.914257280536333
354.8366258231231, 12.593756547244908
356.6037342669001, 14.79607514491235
357.6826899032444, 19.72175216361262
359.2543969325666, 23.993993993993996
360.5955060193619, 27.659677950375624
361.90505959823304, 32.201794818073864
362.9840152345773, 37.06981579074602
364.3649548750832, 43.76102317962784
365.5497207635244, 49.912877994273344
366.960009233077, 53.909652049186946
368.28534056591025, 56.839433351061274
369.41527048428816, 59.91121935889379
370.9360032315767, 62.14378958565007
372.26133456440994, 64.53544779126173
373.40130487167244, 66.67590423404377
374.60615153788467, 68.70997847742032
376.1523714261898, 70.75625043648301
377.69859131449584, 72.86603463929046
378.82311486962635, 74.86772184446602
380.3894155357025, 76.78570748338188
381.2328082020508, 78.40950585136633
383.08827206801743, 79.90142468049447
383.8834708677173, 81.39175720571072
386.53413353338374, 82.77184160905091
389.5161290322585, 84.53462183113342
392.31739753120155, 86.54724491933794
394.65178794698704, 88.10182275298556
397.8730793809568, 89.49600763554253
401.1127781945488, 90.84612852054713
407.0031396738077, 92.19801196545384
413.0407601900479, 93.61502199874295
420.33008252063064, 94.8892206159648
427.98085885107685, 96.0412738319715
439.547386846712, 97.38386377921262
454.1260315078771, 98.33780926804184
468.7046761690426, 98.91320495971658
483.2833208302077, 99.27661276498488
497.8619654913732, 99.33213340190086
512.4406101525383, 99.18576081366778
527.0192548137038, 99.00405691103366
541.5978994748689, 98.73654838771118
556.1765441360344, 98.36809325181419
570.7551887971995, 97.98449612403101
585.333833458365, 97.61604098813402
599.9124781195301, 97.48481039178714
614.4911227806956, 97.55042568996058
629.0697674418607, 98.01478010780338
643.6484121030262, 97.89869150334266
658.2270567641913, 97.54537835933183
672.8057014253568, 97.34853246481154
687.3843460865219, 97.20215987657849
701.9629907476874, 97.16178123154867
716.5416354088525, 97.25263318286576
731.120280070018, 97.39395844047007
745.6989247311831, 97.54537835933183
760.2775693923486, 97.72708226196599
774.8562140535137, 97.88859684208524
789.4348587146792, 98.01982743843209
804.0135033758443, 98.01982743843209
818.5921480370093, 97.87850218082775
833.1707926981749, 97.65641963316381
847.7494373593399, 97.47471573052968
862.3280820205055, 97.32329581166789
876.9067266816705, 97.25768051349448
891.4853713428361, 97.16682856217741
906.0640160040011, 97.15168657029122
920.6426606651667, 97.23749119097957
935.2213053263317, 97.39395844047007
949.7999499874973, 97.56052035121803
964.3785946486623, 97.7321295925947
978.9572393098279, 97.86840751957033
993.5358839709929, 97.99963811591721
1008.1145286321585, 98.13086871226406
1022.6931732933235, 98.26209930861094
1037.271817954489, 98.39332990495782
1051.8504626156541, 98.48418185627489
1066.4291072768196, 98.54474982381959
1081.0077519379847, 98.59522313010686
1095.5863965991502, 98.63055444450792
1110.1650412603153, 98.70626440393882
1124.7436859214808, 98.69112241205264
1139.322330582646, 98.65074376702285
1153.9009752438114, 98.65074376702285
1168.4796199049765, 98.65074376702285
1183.058264566142, 98.65074376702285
1197.6369092273071, 98.65074376702285
1212.2155538884726, 98.65074376702285
1226.7941985496377, 98.65074376702285
1241.3728432108032, 98.65074376702285
1255.9514878719683, 98.65074376702285
1270.5301325331338, 98.65074376702285
1285.108777194299, 98.66083842828029
1299.687421855464, 98.70626440393882
1314.2660665166295, 98.70626440393882
1328.8447111777946, 98.70626440393882
1343.42335583896, 98.70626440393882
1358.0020005001252, 98.70626440393882
1372.5806451612907, 98.72140639582501
1387.1592898224558, 98.78197436336973
1401.7379344836213, 98.81730567777079
1416.3165791447864, 98.81730567777079
1430.895223805952, 98.81730567777079
1445.473868467117, 98.84254233091443
1460.052513128282, 98.89806296783041
1474.6311577894476, 98.92834695160276
1489.209802450613, 98.92834695160276
1503.7884471117786, 98.92834695160276
1518.3670917729432, 98.93339428223149
1532.9457364341088, 98.98386758851875
1547.5243810952743, 99.03938822543473
1562.1030257564398, 99.03938822543473
1576.6816704176044, 99.03938822543473
1591.26031507877, 99.03938822543473
1605.8389597399355, 99.06462487857837
1620.417604401101, 99.10500352360816
1634.9962490622656, 99.1504294992667
1649.5748937234312, 99.1504294992667
1664.1535383845967, 99.1504294992667
1678.7321830457622, 99.1504294992667
1693.3108277069268, 99.17566615241034
1707.8894723680924, 99.22109212806889
1722.4681170292579, 99.26147077309868
1737.0467616904234, 99.26147077309868
1751.625406351588, 99.26147077309868
1766.2040510127536, 99.26147077309868
1780.782695673919, 99.28670742624232
1795.3613403350837, 99.32203874064339
1809.9399849962492, 99.37251204693065
1824.5186296574147, 99.37251204693065
